angle_deg,analytical_derivative,numerical_derivative
-5.00,-387.778134,-344.075793
-4.90,-696.676471,-588.168775
-4.80,-917.340798,-1352.653893
-4.70,-874.268817,-707.729848
-4.60,-658.569380,683.964180
-4.50,-661.358593,-2060.461776
-4.40,-868.019519,-820.795107
-4.30,-693.578255,-272.083972
-4.20,-842.266573,-1251.696314
-4.10,-1094.472990,-1353.469507
-4.00,-1101.819805,-556.553814
-3.90,-788.237286,-668.788028
-3.80,-518.798206,-829.776560
-3.70,-561.939433,-283.314756
-3.60,-564.612492,-468.980680
-3.50,-822.822493,-1519.888705
-3.40,-1323.797579,-1378.380122
-3.30,-1622.678276,-1291.212591
-3.20,-1691.397472,-2128.055013
-3.10,-1562.443622,-1448.843879
-3.00,-1377.846970,-776.091085
-2.90,-1060.621943,-1282.499188
-2.80,-836.204166,-842.245754
-2.70,-628.764406,-153.781149
-2.60,-550.809384,-868.968795
-2.50,-871.098376,-1245.315567
-2.40,-1130.548855,-844.890989
-2.30,-1135.549484,-1200.628298
-2.20,-1371.372807,-1877.651823
-2.10,-1658.020726,-1574.620371
-2.00,-1892.427849,-1645.084569
-1.90,-1867.651054,-2201.075830
-1.80,-1508.269141,-1108.101522
-1.70,-827.541670,20.878395
-1.60,-158.862321,-450.121040
-1.50,201.964831,173.762369
-1.40,-105.611870,115.106498
-1.30,-634.652580,-1162.307668
-1.20,-1038.594899,-1384.975132
-1.10,-1406.147883,-1097.942499
-1.00,-1517.402214,-1565.631864
-0.90,-1171.102651,-1208.670693
-0.80,-826.442663,-483.829704
-0.70,-804.858647,-738.700695
-0.60,-1082.331794,-1719.047530
-0.50,-1342.134462,-883.588125
-0.40,-895.767950,-382.173783
-0.30,-910.262777,-1748.573638
-0.20,-1338.292406,-1360.798571
-0.10,-1453.172864,-254.195574
-0.00,-1199.548014,-1901.278176
0.10,-365.718328,-124.858155
0.20,142.287125,749.444315
0.30,318.532517,125.614692
0.40,542.277190,373.268601
0.50,714.061775,1282.271698
0.60,930.965205,824.407175
0.70,766.677841,196.178527
0.80,311.032317,342.500556
0.90,-329.856158,-468.165507
1.00,-1014.970721,-1840.342113
1.10,-1638.479105,-1766.469972
1.20,-2145.898569,-1744.842975
1.30,-2214.016141,-2777.310629
1.40,-2051.955829,-1850.821651
1.50,-1493.392342,-517.411397
1.60,-592.424213,-719.408118
1.70,-12.882057,101.795678
1.80,390.591919,1012.388561
1.90,677.885392,718.953137
2.00,1337.873949,1368.824653
2.10,1819.720659,2309.411409
2.20,1818.698344,1621.343148
2.30,1218.390470,393.709210
2.40,395.674453,250.165118
2.50,-403.809783,-408.891974
2.60,-889.557371,-1453.786499
2.70,-971.851087,-921.206886
2.80,-1164.837717,-644.056408
2.90,-1339.238773,-2033.421307
3.00,-1339.407049,-1363.167819
3.10,-1460.408736,-1063.602946
3.20,-1829.552153,-2307.349449
3.30,-1956.255124,-2203.014346
3.40,-2117.447250,-1687.648596
3.50,-2091.264680,-1955.443321
3.60,-1456.679112,-1487.105873
3.70,-960.830491,-474.171512
3.80,-859.738249,-792.954455
3.90,-1177.512035,-2012.483394
4.00,-1842.257743,-1870.717341
4.10,-2572.914819,-2536.216461
4.20,-3553.992797,-4790.130850
4.30,-4538.555430,-4850.654698
4.40,-5523.010844,-5319.756177
4.50,-7118.219163,-9252.347409
4.60,-9789.190552,-11354.428864
4.70,-12774.891865,-13585.421414
4.80,-15528.658820,-16596.477310
4.90,-15597.332595,-10647.640719
5.00,74.329640,11449.991047
5.10,16049.699714,16411.191417
5.20,15849.189801,14246.803227
5.30,13091.134784,11931.525128
5.40,10109.381259,8936.196475
5.50,7616.099011,6232.280963
5.60,6311.507245,6091.717169
5.70,5483.261943,5684.832046
5.80,4702.472736,3526.620919
5.90,3894.462263,3592.738996
6.00,3167.655434,3645.672784
6.10,2432.875594,1428.648395
6.20,2028.909448,1736.188209
6.30,1828.136698,2489.907663
6.40,1847.063292,1640.034816
6.50,2121.433011,1666.075827
6.60,1855.758550,2213.360740
6.70,1541.141803,1507.016113
6.80,1495.100419,880.021026
6.90,1221.466349,1374.513671
7.00,1064.931599,1484.905920
7.10,1180.293058,601.285171
7.20,1304.610380,1462.859654
7.30,1299.426583,1879.547575
7.40,1117.591595,103.324623
7.50,528.843396,88.654153
7.60,-391.602320,-108.296342
7.70,-1179.553686,-1976.424880
7.80,-1446.139518,-1661.850947
7.90,-1376.206650,-663.021417
8.00,-1001.727541,-981.582601
8.10,-527.510589,-733.844926
8.20,-261.791453,288.121147
8.30,46.992219,392.789991
8.40,630.303462,615.189405
8.50,1630.290164,2254.685034
8.60,2235.313492,2691.187966
8.70,2736.234968,2401.281726
8.80,3143.119885,3208.818036
8.90,3097.395693,3189.492394
9.00,2505.723511,1874.135425
9.10,1662.477809,1122.011929
9.20,816.949955,1069.165434
9.30,197.273948,-404.477960
9.40,-149.676382,-430.063990
9.50,-183.976413,224.602894
9.60,-291.685033,-394.651795
9.70,-434.861192,-923.397141
9.80,-664.333209,-356.705906
9.90,-459.276863,158.622810
10.00,471.672706,393.900989
10.10,1120.180515,1481.014780
10.20,1340.538073,1760.026180
10.30,1132.875681,383.390591
10.40,894.514814,918.562974
10.50,876.520440,1532.142754
10.60,864.062796,172.804794
10.70,591.343076,397.606081
10.80,641.959933,1483.745103
10.90,1279.118040,1313.716041
11.00,1855.914913,1660.467930
11.10,1918.056448,2276.142295
11.20,1615.857882,1360.152252
11.30,922.494812,-53.394940
11.40,-82.042046,-165.156098
11.50,-615.633657,-105.443456
11.60,-129.268809,-326.508350
11.70,669.335327,1192.056416
11.80,1368.763783,2239.441429
11.90,1977.279212,1690.582161
12.00,2744.003963,3084.268933
12.10,3142.873427,3821.588815
12.20,2925.442831,2194.127239
12.30,2660.085563,2270.462976
12.40,2164.868350,2450.729536
12.50,1606.960842,1351.348911
12.60,1788.110067,1634.321550
12.70,2183.712295,2763.475612
12.80,2394.901039,2614.842530
12.90,2670.893952,2317.837804
13.00,2889.571727,3195.167744
13.10,2958.706401,3489.117666
13.20,3027.202221,2343.277465
13.30,2896.085353,3027.085576
13.40,2812.305446,3130.504546
13.50,2386.045695,1710.599533
13.60,2188.338398,2180.463721
13.70,2518.563126,3532.348293
13.80,2983.089310,2606.543989
13.90,3119.819601,2969.378903
14.00,3541.290185,4300.723228
14.10,3499.974678,3123.899395
14.20,2755.338773,1948.854923
14.30,2251.438959,2451.303552
14.40,1758.010982,1713.487247
14.50,1020.815710,145.990052
14.60,909.650729,1248.042804
14.70,1044.130141,1665.314881
14.80,1009.155516,194.894707
14.90,1092.419426,1291.870372
15.00,1467.105529,2548.984127
