angle_deg,objective_function
-5.00,374.691641
-4.90,373.111754
-4.80,372.344788
-4.70,369.042169
-4.60,367.527058
-4.50,365.852487
-4.40,363.601153
-4.30,359.896280
-4.20,356.895264
-4.10,350.381202
-4.00,343.399394
-3.90,338.647940
-3.80,333.070654
-3.70,327.391744
-3.60,324.175182
-3.50,320.718115
-3.40,314.953336
-3.30,310.271063
-3.20,306.032645
-3.10,299.497969
-3.00,294.333062
-2.90,290.524117
-2.80,285.108361
-2.70,280.828677
-2.60,278.426290
-2.50,275.081599
-2.40,271.298325
-2.30,267.790911
-2.20,262.958320
-2.10,256.601241
-2.00,251.867906
-1.90,248.352211
-1.80,244.330498
-1.70,242.800116
-1.60,243.254074
-1.50,242.947177
-1.40,243.669411
-1.30,244.090646
-1.20,240.821294
-1.10,237.399833
-1.00,234.791827
-0.90,231.609095
-0.80,229.465945
-0.70,229.148625
-0.60,228.067041
-0.50,225.604501
-0.40,224.557240
-0.30,223.479330
-0.20,220.229571
-0.10,218.142004
-0.00,216.716146
0.10,216.709261
0.20,217.741295
0.30,219.608045
0.40,219.567701
0.50,219.561956
0.60,220.567442
0.70,220.476469
0.80,218.996584
0.90,217.425743
1.00,214.097581
1.10,208.103487
1.20,203.021537
1.30,198.820302
1.40,193.552851
1.50,190.057048
1.60,189.284340
1.70,187.705605
1.80,187.650179
1.90,189.412482
2.00,190.135824
2.10,191.776856
2.20,195.154668
2.30,197.660568
2.40,198.154697
2.50,198.669157
2.60,197.825835
2.70,194.461197
2.80,192.412508
2.90,191.588060
3.00,188.193196
3.10,186.207478
3.20,185.076544
3.30,181.455736
3.40,178.200090
3.50,175.598243
3.60,171.698430
3.70,167.839414
3.80,165.213393
3.90,161.686962
4.00,155.661430
4.10,150.132992
4.20,143.637308
4.30,133.327795
4.40,123.253897
4.50,112.541152
4.60,96.005402
4.70,75.452111
4.80,50.967411
4.90,21.311792
5.00,2.266136
5.10,21.819630
5.20,49.741998
5.30,73.955076
5.40,93.975142
5.50,108.752001
5.60,118.611138
5.70,127.684470
5.80,135.503088
5.90,139.685289
6.00,143.519617
6.10,147.381368
6.20,147.839961
6.30,149.076666
6.40,152.114660
6.50,154.709267
6.60,157.952242
6.70,162.326097
6.80,165.566807
6.90,167.640938
7.00,170.497573
7.10,173.359501
7.20,174.559008
7.30,176.656380
7.40,179.089614
7.50,179.256246
7.60,179.222641
7.70,178.866674
7.80,175.248650
7.90,171.610520
8.00,169.520299
8.10,167.546510
8.20,166.123898
8.30,166.378128
8.40,167.085696
8.50,168.246502
8.60,171.821371
8.70,176.139976
8.80,179.198864
8.90,182.736405
9.00,186.579683
9.10,186.194077
9.20,185.981734
9.30,185.952078
9.40,183.706165
9.50,181.808305
9.60,181.548116
9.70,180.626437
9.80,179.637594
9.90,180.240100
10.00,181.867014
10.10,183.532779
10.20,186.347462
10.30,189.028088
10.40,189.412830
10.50,191.420581
10.60,194.747779
10.70,195.257525
10.80,196.430533
10.90,198.903345
11.00,200.916521
11.10,203.125334
11.20,205.986471
11.30,207.369058
11.40,207.355562
11.50,207.400261
11.60,207.622046
11.70,207.716650
11.80,210.000877
11.90,213.665981
12.00,216.239140
12.10,219.341753
12.20,222.918881
12.30,224.323022
12.40,226.150592
12.50,228.783932
12.60,229.567687
12.70,230.026875
12.80,231.913753
12.90,233.559723
13.00,235.057899
13.10,237.959005
13.20,241.266341
13.30,243.450325
13.40,246.177966
13.50,248.993173
13.60,249.097719
13.70,249.958066
13.80,251.721051
13.90,252.245224
14.00,253.590853
14.10,256.237931
14.20,257.769361
14.30,258.533741
14.40,260.210564
14.50,261.897490
14.60,262.278995
14.70,263.880425
14.80,266.132295
14.90,266.832781
15.00,267.891838
