angle_deg,analytical_derivative,numerical_derivative
10.00,8978.495852,8309.178463
10.10,8728.752521,8797.966219
10.20,8717.933708,9256.193580
10.30,8636.096422,7862.401440
10.40,8328.361870,8157.211063
10.50,7801.462585,8605.617991
10.60,7643.114771,6865.375520
10.70,7942.814512,7779.442918
10.80,8228.401397,9182.029581
10.90,8332.008101,7908.497297
11.00,8266.232248,7859.661418
11.10,8228.170576,9059.176954
11.20,8870.178907,8794.206459
11.30,7285.758128,5082.971978
11.40,4074.163272,2892.419773
11.50,1698.911074,1416.762034
11.60,533.530555,-368.322453
11.70,-6.238129,-77.019089
11.80,-454.505565,6.540783
11.90,-1090.896750,-2239.629241
12.00,-1521.059614,-1735.675474
12.10,-2072.161619,-1985.145337
12.20,-5553.751761,-7699.973901
12.30,-7581.517527,-8412.192271
12.40,-8627.488281,-8106.110423
12.50,-9019.770406,-9274.686414
12.60,-8981.242624,-9834.792338
12.70,-8992.800065,-8211.186632
12.80,-9114.564952,-9015.664610
12.90,-9144.509163,-9816.723182
13.00,-9048.715385,-8663.715718
13.10,-9126.196851,-8612.800685
13.20,-9365.530890,-10375.282083
13.30,-9648.668092,-9766.486210
13.40,-9811.816242,-9001.885584
13.50,-9871.036028,-10717.049909
13.60,-10066.266092,-10222.978739
13.70,-9985.893404,-8797.475968
13.80,-9425.908505,-9631.913872
13.90,-8513.121586,-8607.111226
14.00,-7822.780040,-6834.995442
14.10,-7658.404070,-7910.348520
14.20,-7759.836587,-8204.468618
14.30,-7659.053348,-7119.525243
14.40,-7427.468200,-7002.153983
14.50,-7267.398163,-8005.950381
14.60,-7262.670051,-7084.766420
14.70,-7310.191669,-6507.165357
14.80,-7311.665202,-8259.375751
14.90,-7232.175591,-7184.889428
15.00,-7246.688289,-6115.147775
15.10,-7272.357840,-8292.316856
15.20,-7359.233729,-7733.015525
15.30,-7462.934250,-6464.954909
15.40,-7282.532588,-7654.431780
15.50,-7118.013658,-7536.430955
