angle_deg,objective_function
-5.00,3279.973435
-4.90,3275.693633
-4.80,3274.203366
-4.70,3268.039948
-4.60,3273.501244
-4.50,3274.018901
-4.40,3267.258151
-4.30,3311.200155
-4.20,3366.477566
-4.10,3373.989678
-4.00,3390.016570
-3.90,3430.182281
-3.80,3457.626876
-3.70,3464.216070
-3.60,3456.568169
-3.50,3426.057789
-3.40,3363.427581
-3.30,3297.125568
-3.20,3239.066626
-3.10,3150.000978
-3.00,3070.295977
-2.90,3025.485005
-2.80,2947.981046
-2.70,2884.314892
-2.60,2848.812186
-2.50,2793.656257
-2.40,2733.814939
-2.30,2695.586289
-2.20,2652.114299
-2.10,2603.681705
-2.00,2601.490198
-1.90,2618.302308
-1.80,2616.284369
-1.70,2615.669418
-1.60,2628.246679
-1.50,2627.378697
-1.40,2653.785596
-1.30,2702.094974
-1.20,2715.938834
-1.10,2737.027258
-1.00,2778.445723
-0.90,2796.757190
-0.80,2792.137839
-0.70,2793.499605
-0.60,2797.219104
-0.50,2798.370295
-0.40,2802.793263
-0.30,2788.215832
-0.20,2753.026427
-0.10,2751.364997
-0.00,2776.430941
0.10,2775.108060
0.20,2794.786397
0.30,2822.242358
0.40,2834.230115
0.50,2862.265319
0.60,2891.035002
0.70,2893.795713
0.80,2883.709924
0.90,2891.443822
1.00,2897.019870
1.10,2880.615407
1.20,2876.585722
1.30,2895.900484
1.40,2901.966958
1.50,2908.979312
1.60,2938.804589
1.70,2953.170652
1.80,2987.417180
1.90,3044.976429
2.00,3084.214648
2.10,3126.941904
2.20,3198.801793
2.30,3264.818409
2.40,3298.758614
2.50,3336.453680
2.60,3362.271313
2.70,3371.008514
2.80,3408.952929
2.90,3457.982528
3.00,3476.582220
3.10,3512.668579
3.20,3562.468603
3.30,3579.667960
3.40,3604.556279
3.50,3645.689932
3.60,3662.707515
3.70,3652.739511
3.80,3632.410596
3.90,3587.027555
4.00,3514.379247
4.10,3472.227008
4.20,3431.164049
4.30,3359.411588
4.40,3320.825799
4.50,3316.855640
4.60,3299.304041
4.70,3305.096283
4.80,3331.420582
4.90,3343.621642
5.00,3378.920819
5.10,3414.568190
5.20,3406.599054
5.30,3398.933557
5.40,3429.093596
5.50,3475.916641
5.60,3488.492822
5.70,3496.688626
5.80,3516.310894
5.90,3517.041206
6.00,3549.322749
6.10,3601.803839
6.20,3608.708944
6.30,3632.476484
6.40,3677.076313
6.50,3690.498579
6.60,3698.593620
6.70,3721.386137
6.80,3732.017199
6.90,3730.040860
7.00,3733.438032
7.10,3729.156474
7.20,3710.536016
7.30,3709.480584
7.40,3709.170412
7.50,3667.483540
7.60,3647.105798
7.70,3650.439508
7.80,3624.019885
7.90,3600.234833
8.00,3603.994576
8.10,3596.968063
8.20,3581.762925
8.30,3575.974468
8.40,3553.572830
8.50,3520.610549
8.60,3509.972091
8.70,3502.594216
8.80,3463.394768
8.90,3448.060365
9.00,3459.550185
9.10,3437.539462
9.20,3432.982250
9.30,3443.771140
9.40,3429.617735
9.50,3417.230745
9.60,3424.707153
9.70,3426.098475
9.80,3417.149161
9.90,3411.908233
10.00,3378.911944
10.10,3298.738172
10.20,3237.526358
10.30,3201.852121
10.40,3122.808513
10.50,3051.966360
10.60,3010.356096
10.70,2938.894954
10.80,2891.525688
10.90,2870.942094
11.00,2827.031474
11.10,2781.619421
11.20,2745.993527
11.30,2686.428806
11.40,2623.215249
11.50,2579.939812
11.60,2521.426334
11.70,2448.184885
11.80,2404.713203
11.90,2388.828266
12.00,2349.816210
12.10,2336.574536
12.20,2343.976561
12.30,2330.049961
12.40,2343.846892
12.50,2380.934654
12.60,2415.899816
12.70,2439.683770
12.80,2452.030309
12.90,2437.329197
13.00,2391.769831
13.10,2346.638278
13.20,2302.673971
13.30,2236.025426
13.40,2178.006113
13.50,2105.127472
13.60,1993.278086
13.70,1933.057545
13.80,1912.277912
13.90,1841.918663
14.00,1737.885377
14.10,1621.503306
14.20,1491.547087
14.30,1343.824077
14.40,1198.859865
14.50,1038.481053
14.60,853.179060
14.70,681.601715
14.80,498.359664
14.90,202.691347
15.00,7.961671
