angle_deg,objective_function
110.00,3386.511055
110.10,3400.869837
110.20,3407.984951
110.30,3409.881165
110.40,3420.979995
110.50,3468.436621
110.60,3505.124435
110.70,3492.497669
110.80,3501.414401
110.90,3536.186781
111.00,3549.111649
111.10,3581.900431
111.20,3624.866891
111.30,3637.231222
111.40,3661.111085
111.50,3698.558239
111.60,3707.253314
111.70,3710.617382
111.80,3731.040145
111.90,3742.749731
112.00,3726.728127
112.10,3720.417171
112.20,3727.247592
112.30,3707.048819
112.40,3692.088837
112.50,3687.127969
112.60,3648.513059
112.70,3632.537811
112.80,3636.737561
112.90,3605.983442
113.00,3590.181538
113.10,3601.540981
113.20,3591.875034
113.30,3566.305532
113.40,3549.763807
113.50,3534.674752
113.60,3504.520120
113.70,3490.121574
113.80,3481.942373
113.90,3447.158536
114.00,3440.753049
114.10,3456.222253
114.20,3436.455860
114.30,3427.414050
114.40,3439.655477
114.50,3424.800543
114.60,3413.411245
114.70,3427.674317
114.80,3428.308231
114.90,3403.551707
115.00,3372.276370
115.10,3313.959541
115.20,3233.435400
115.30,3186.405661
115.40,3142.259512
115.50,3051.787265
115.60,2990.870993
115.70,2953.066841
115.80,2895.445274
115.90,2855.788808
116.00,2833.276968
116.10,2789.454394
116.20,2734.469107
116.30,2684.590058
116.40,2634.553599
116.50,2572.024955
116.60,2511.316200
116.70,2464.178451
116.80,2401.602561
116.90,2370.968865
117.00,2369.056721
117.10,2337.661865
117.20,2326.554522
117.30,2341.948124
117.40,2349.648339
117.50,2367.473905
117.60,2420.169456
117.70,2450.258343
117.80,2442.603307
117.90,2433.932465
118.00,2405.390635
118.10,2341.566023
118.20,2291.889014
118.30,2252.203817
118.40,2176.769393
118.50,2088.647129
118.60,2007.864728
118.70,1935.546064
118.80,1896.802886
118.90,1850.888071
119.00,1744.361069
119.10,1611.103986
119.20,1492.403357
119.30,1353.584170
119.40,1190.648897
119.50,1032.295082
119.60,866.321587
119.70,677.629822
119.80,481.234309
119.90,222.806570
120.00,8.057211
120.10,202.746122
120.20,497.774981
120.30,680.381486
120.40,850.414156
120.50,1030.209297
120.60,1186.974576
120.70,1333.718852
120.80,1491.488180
120.90,1632.967073
121.00,1758.132562
121.10,1869.213248
121.20,1940.866450
121.30,1964.573252
121.40,2016.822809
121.50,2108.110826
121.60,2161.433032
121.70,2203.349249
121.80,2253.932081
121.90,2281.142268
122.00,2312.166149
122.10,2355.942654
122.20,2379.367707
122.30,2382.485802
122.40,2376.592733
122.50,2356.624164
122.60,2328.309473
122.70,2311.131340
122.80,2318.018662
122.90,2319.079288
123.00,2337.462480
123.10,2376.873627
123.20,2386.998523
123.30,2405.256720
123.40,2453.078611
123.50,2502.442537
123.60,2549.320110
123.70,2603.958158
123.80,2636.815940
123.90,2651.027051
124.00,2687.709382
124.10,2722.217155
124.20,2734.525796
124.30,2767.742251
124.40,2821.066084
124.50,2850.665544
124.60,2900.478211
124.70,2965.806912
124.80,3001.035274
124.90,3042.721525
125.00,3093.004405
125.10,3103.995899
125.20,3106.850940
125.30,3131.156286
125.40,3148.205865
125.50,3149.678955
125.60,3159.731122
125.70,3172.214814
125.80,3159.326826
125.90,3156.656346
126.00,3154.664334
126.10,3102.714858
126.20,3076.127487
126.30,3082.496745
126.40,3073.134313
126.50,3085.633314
126.60,3130.476380
126.70,3169.681383
126.80,3201.733981
126.90,3254.740025
127.00,3304.481185
127.10,3341.386467
127.20,3403.141614
127.30,3460.788285
127.40,3476.754875
127.50,3513.438789
127.60,3559.715063
127.70,3550.131422
127.80,3533.379289
127.90,3524.456032
128.00,3493.536342
128.10,3468.170335
128.20,3460.771175
128.30,3436.967795
128.40,3398.619996
128.50,3372.432302
128.60,3341.578296
128.70,3289.245705
128.80,3249.861771
128.90,3229.074458
129.00,3180.611557
129.10,3159.514018
129.20,3173.578929
129.30,3155.335742
129.40,3135.669679
129.50,3112.975372
129.60,3056.203253
129.70,3010.263441
129.80,3004.222308
129.90,3010.923680
130.00,3001.999006
