# case=-31.0
case,iter,E,norm_dw,C
-31.0,0,809.3523949910,0.0,1.000000e-04
-31.0,1,799.4462384784,5.48989191e-04,1.000000e-05
-31.0,2,776.6251511979,5.16081251e-04,1.000000e-06
-31.0,3,764.8942849645,5.94795856e-04,1.000000e-07
-31.0,4,742.8295634921,5.61093091e-04,1.000000e-08
-31.0,5,727.2470783125,6.32149543e-04,1.000000e-09
-31.0,6,708.3605608065,6.23055506e-04,1.000000e-10
-31.0,7,687.7698359399,6.49682228e-04,1.000000e-11
-31.0,8,670.3466006258,6.82367152e-04,1.000000e-12
-31.0,9,647.5693325874,6.61875276e-04,1.000000e-13
-31.0,10,624.7691050411,7.06815799e-04,1.000000e-14
-31.0,11,603.4320578401,7.26018020e-04,1.000000e-15
-31.0,12,577.7580315393,7.12086592e-04,1.000000e-16
-31.0,13,549.1333809268,7.60480777e-04,1.000000e-17
-31.0,14,517.9780549575,8.14030753e-04,1.000000e-18
-31.0,15,482.7934344701,8.58308471e-04,1.000000e-19
-31.0,16,440.1644529513,9.08982320e-04,1.000000e-20
-31.0,17,385.6765197473,1.00285788e-03,1.000000e-21
-31.0,18,310.2991428443,1.16846454e-03,1.000000e-22
-31.0,19,192.4834916821,1.44140593e-03,1.000000e-23
-31.0,20,41.8119215970,1.87449128e-03,1.000000e-24
-31.0,21,2.7115417466,1.30728017e-03,1.000000e-25
-31.0,22,2.1006179035,1.38702073e-04,1.000000e-26
-31.0,23,2.1006179035,3.98469664e-05,1.000000e-25
-31.0,24,2.1006179035,3.98469664e-05,1.000000e-24
-31.0,25,2.1006179035,3.98469664e-05,1.000000e-23
-31.0,26,2.1006179035,3.98469664e-05,1.000000e-22
-31.0,27,2.1006179035,3.98469664e-05,1.000000e-21
-31.0,28,2.1006179035,3.98469664e-05,1.000000e-20
-31.0,29,2.1006179035,3.98469664e-05,1.000000e-19
-31.0,30,2.1006179035,3.98469664e-05,1.000000e-18
-31.0,31,2.1006179035,3.98469664e-05,1.000000e-17
-31.0,32,2.1006179035,3.98469664e-05,1.000000e-16
-31.0,33,2.1006179035,3.98469664e-05,1.000000e-15
-31.0,34,2.1006179035,3.98469664e-05,1.000000e-14
-31.0,35,2.1006179035,3.98469664e-05,1.000000e-13
-31.0,36,2.1006179035,3.98469664e-05,1.000000e-12
-31.0,37,2.1006179035,3.98469664e-05,1.000000e-11
-31.0,38,2.1006179035,3.98469664e-05,1.000000e-10
-31.0,39,2.1006179035,3.98469664e-05,1.000000e-09
-31.0,40,2.1006179035,3.98469664e-05,1.000000e-08
-31.0,41,2.1006179035,3.98469660e-05,1.000000e-07
-31.0,42,2.1006179035,3.98469618e-05,1.000000e-06
-31.0,43,2.1006179035,3.98469206e-05,1.000000e-05
-31.0,44,2.1006179035,3.98465076e-05,1.000000e-04
-31.0,45,2.1006179035,3.98423789e-05,1.000000e-03
-31.0,46,2.1006179035,3.98011456e-05,1.000000e-02
-31.0,47,2.1006179035,3.93941165e-05,1.000000e-01
-31.0,48,2.1006179035,3.57880531e-05,1.000000e+00
-31.0,49,2.1006179035,1.93253536e-05,1.000000e+01
-31.0,50,2.1006179035,3.61911216e-06,1.000000e+02
-31.0,51,2.1006179035,3.98310863e-07,1.000000e+03
-31.0,52,2.1006179035,4.02388659e-08,1.000000e+04
-31.0,53,2.1006179035,4.02801367e-09,1.000000e+05
