# case=-35.0
case,iter,E,norm_dw,C
-35.0,0,1434.9894886109,0.0,1.000000e-04
-35.0,1,1434.9894886109,8.99839491e-05,1.000000e-03
-35.0,2,1434.9894886109,8.99100578e-05,1.000000e-02
-35.0,3,1434.9894886109,8.91787606e-05,1.000000e-01
-35.0,4,1434.9894886109,8.25446682e-05,1.000000e+00
-35.0,5,1434.9894886109,4.82842003e-05,1.000000e+01
-35.0,6,1434.9894886109,9.58389468e-06,1.000000e+02
-35.0,7,1434.9894886109,1.06473503e-06,1.000000e+03
-35.0,8,1434.9894886109,1.07670652e-07,1.000000e+04
-35.0,9,1434.9894886109,1.07791875e-08,1.000000e+05
-35.0,10,1434.9894886109,1.07804012e-09,1.000000e+06
