angle_deg,analytical_derivative,numerical_derivative
110.00,20815.553719,8226.976037
110.10,3218.360896,4076.659961
110.20,-2015.979738,1086.450718
110.30,5954.141667,6359.160959
110.40,18931.698272,27190.644172
110.50,21756.138212,21020.568985
110.60,7307.782194,-7234.603966
110.70,1183.402443,5108.910707
110.80,6648.556835,19923.106596
110.90,14409.907907,7405.403672
111.00,19616.927501,18786.588201
111.10,16726.139122,24617.968003
111.20,12972.962518,7084.240019
111.30,16877.228726,13682.153672
111.40,15262.138510,21455.639081
111.50,11948.765650,4981.910793
111.60,7129.985832,1927.469084
111.70,6944.448770,11701.380909
111.80,5766.402868,6709.098592
111.90,2113.795063,-9179.702656
112.00,-5440.831794,-3615.911251
112.10,-5361.354841,3913.542898
112.20,-877.392349,-11573.044711
112.30,-6038.746573,-8571.438475
112.40,-11949.032211,-2842.367968
112.50,-12972.090610,-22124.713677
112.60,-10465.567415,-9153.142738
112.70,-6849.877600,2406.279456
112.80,-9106.539075,-17620.812190
112.90,-9789.813025,-9053.823881
113.00,-1880.985818,6508.481361
113.10,-2025.341399,-5538.179804
113.20,-5953.954776,-14650.245577
113.30,-12310.081250,-9477.709927
113.40,-13725.517825,-8645.391737
113.50,-10386.538703,-17277.331575
113.60,-9726.972324,-8249.759001
113.70,-12120.875619,-4686.337139
113.80,-12724.645067,-19929.670745
113.90,-6690.268460,-3670.073309
114.00,-2920.061719,8863.200788
114.10,-877.448937,-11325.308800
114.20,-2611.059139,-5180.575841
114.30,-2332.856299,7013.821231
114.40,-1579.864666,-8511.250132
114.50,-3711.685376,-6525.587211
114.60,340.372670,8172.138562
114.70,1977.918811,363.205688
114.80,-3007.050040,-14184.443146
114.90,-15005.307480,-17919.448586
115.00,-30618.819152,-33413.081336
115.10,-40781.016025,-46136.934439
115.20,-32490.423205,-26946.055649
115.30,-29882.903076,-25293.880089
115.40,-40227.826205,-51836.779073
115.50,-38452.001038,-34902.453293
115.60,-32266.745545,-21660.183163
115.70,-29371.967683,-33014.726213
