angle_deg,analytical_derivative,numerical_derivative
-5.00,-20192.993936,-20444.904586
-4.90,-2965.916957,-4489.419437
-4.80,1870.948074,4366.632810
-4.70,-6169.109922,-5449.155894
-4.60,-18948.335268,-20103.761542
-4.50,-21834.056749,-22049.938058
-4.40,-7597.091257,-6379.284780
-4.30,-1241.849350,-1909.399431
-4.20,-6595.957895,-9015.732918
-4.10,-14382.168410,-12985.688673
-4.00,-19453.842640,-19852.043321
-3.90,-16704.102399,-18892.371884
-3.80,-13254.336544,-11846.188443
-3.70,-16618.965859,-16825.101185
-3.60,-15198.858505,-16523.145583
-3.50,-11985.680662,-8872.967451
-3.40,-7212.651841,-6767.097568
-3.30,-6976.308798,-7988.253693
-3.20,-5834.719988,-3335.609034
-3.10,-1880.562894,-893.526085
-3.00,5440.288992,4552.222607
-2.90,5352.444398,3889.780702
-2.80,1191.889962,2249.848030
-2.70,5963.548003,5352.076023
-2.60,12074.823811,9863.352570
-2.50,12746.130798,14401.134195
-2.40,10491.980807,9817.433056
-2.30,6710.224070,4651.168436
-2.20,9389.668831,11145.556710
-2.10,9442.246923,9634.858418
-2.00,1814.433364,37.496922
-1.90,2033.531829,4497.231841
-1.80,6019.411947,6596.981764
-1.70,12330.826864,11247.319560
-1.60,13690.596066,15417.975531
-1.50,10589.969620,11358.134426
-1.40,9705.335442,8887.475762
-1.30,12257.628992,9605.845645
-1.20,12572.148199,13792.983226
-1.10,6702.980752,6179.567944
-1.00,2968.003283,702.942829
-0.90,1144.992305,2783.823484
-0.80,2603.304292,2630.279317
-0.70,2237.256857,635.703293
-0.60,1736.586307,4126.901354
-0.50,3479.866428,4128.859649
-0.40,-340.785915,-1445.024238
-0.30,-1954.649055,277.571945
-0.20,3168.875808,3604.370191
-0.10,14953.354094,13340.356263
-0.00,31453.279501,31451.062250
0.10,40054.379706,41348.329101
0.20,32488.615354,31767.314943
0.30,29698.524588,27361.852108
0.40,39665.759448,41159.438289
0.50,38452.471615,37930.772161
0.60,32203.133455,30160.906433
0.70,29020.357743,30936.398122
0.80,22071.735577,22022.564635
0.90,20024.291186,18449.652201
1.00,21063.102014,23261.533164
1.10,23942.915961,24369.533318
1.20,30419.488662,28968.070945
1.30,34060.203218,36778.299092
1.40,27524.150127,28338.451831
1.50,34486.551575,33299.362881
1.60,37436.427203,35320.369729
1.70,30137.312718,31203.261388
1.80,22787.056444,22157.543090
1.90,14707.612161,12324.685288
2.00,9359.443911,11094.649507
