angle_deg,objective_function
20.00,3551.807092
20.10,3563.897380
20.20,3588.932368
20.30,3600.347707
20.40,3601.770402
20.50,3623.501941
20.60,3651.714949
20.70,3657.998222
20.80,3674.843759
20.90,3703.871696
21.00,3706.274785
21.10,3724.920847
21.20,3758.214651
21.30,3763.251492
21.40,3774.287362
21.50,3807.720945
21.60,3835.375660
21.70,3851.857568
21.80,3866.597200
21.90,3863.908581
22.00,3844.377429
22.10,3841.463459
22.20,3848.518967
22.30,3836.837723
22.40,3832.672167
22.50,3838.984559
22.60,3812.830785
22.70,3795.704987
22.80,3789.644012
22.90,3768.337805
23.00,3744.827611
23.10,3717.950917
23.20,3668.751642
23.30,3617.613680
23.40,3591.520005
23.50,3576.196448
23.60,3547.201037
23.70,3524.360591
23.80,3501.829680
23.90,3451.797068
24.00,3424.794347
24.10,3432.190689
24.20,3426.247167
24.30,3438.610077
24.40,3471.092880
24.50,3491.657350
24.60,3511.078564
24.70,3546.968267
24.80,3582.237712
24.90,3607.077216
25.00,3635.717319
25.10,3658.237729
25.20,3660.238416
25.30,3667.506519
25.40,3677.117011
25.50,3657.380283
25.60,3650.351202
25.70,3656.851611
25.80,3640.072174
25.90,3623.003689
26.00,3612.886354
26.10,3587.840609
26.20,3560.503596
26.30,3542.667152
26.40,3516.681225
26.50,3486.605564
26.60,3483.305295
26.70,3497.002773
26.80,3500.989238
26.90,3510.197374
27.00,3518.313956
27.10,3495.593448
27.20,3488.701762
27.30,3499.544489
27.40,3505.815997
27.50,3532.319401
27.60,3576.725194
27.70,3612.163874
27.80,3640.729138
27.90,3676.945915
28.00,3718.850497
28.10,3763.993878
28.20,3825.359694
28.30,3889.624074
28.40,3928.257463
28.50,3967.967486
28.60,4008.898718
28.70,4024.089977
28.80,4042.363002
28.90,4069.542018
29.00,4085.581845
29.10,4098.332620
29.20,4111.871048
29.30,4117.020399
29.40,4123.533735
29.50,4141.364313
29.60,4153.606386
29.70,4146.945082
29.80,4149.581881
29.90,4156.426336
30.00,4136.687073
30.10,4120.112182
30.20,4110.589880
30.30,4085.749953
30.40,4057.944583
30.50,4028.326726
30.60,3989.217311
30.70,3960.590274
30.80,3954.657944
30.90,3952.622771
31.00,3947.245988
31.10,3956.218975
31.20,3968.710190
31.30,3970.283878
31.40,3981.488048
31.50,4002.307512
31.60,4002.350917
31.70,4011.363335
31.80,4027.213265
31.90,4026.461545
32.00,4032.517511
32.10,4056.276903
32.20,4080.483205
32.30,4100.070360
32.40,4117.357644
32.50,4124.209161
32.60,4122.626480
32.70,4132.036508
32.80,4141.672760
32.90,4128.192247
33.00,4117.201779
33.10,4108.093676
33.20,4077.460059
33.30,4049.984258
33.40,4036.056055
33.50,4020.598020
33.60,4009.420799
33.70,4011.586962
33.80,4017.812065
33.90,4023.072836
34.00,4042.707428
34.10,4071.561364
34.20,4088.264929
34.30,4107.410691
34.40,4136.817631
34.50,4155.716694
34.60,4181.865810
34.70,4209.286905
34.80,4213.811776
34.90,4217.864481
35.00,4230.314631
35.10,4236.632401
35.20,4247.480759
35.30,4275.944923
35.40,4305.430070
35.50,4322.710974
35.60,4338.198368
35.70,4344.230224
35.80,4330.752490
35.90,4325.661049
36.00,4330.194397
36.10,4312.477429
36.20,4301.262039
36.30,4303.344797
36.40,4297.911414
36.50,4295.714888
36.60,4300.353105
36.70,4292.935289
36.80,4280.391815
36.90,4276.569994
37.00,4273.745248
37.10,4262.995460
37.20,4255.392576
37.30,4249.758687
37.40,4231.324388
37.50,4218.305717
37.60,4206.930371
37.70,4179.577009
37.80,4162.675314
37.90,4161.435023
38.00,4153.344803
38.10,4143.949315
38.20,4146.570544
38.30,4148.688159
38.40,4148.986708
38.50,4154.511188
38.60,4152.070702
38.70,4138.903641
38.80,4140.236841
38.90,4151.115855
39.00,4146.844392
39.10,4150.807997
39.20,4166.696704
39.30,4165.075572
39.40,4158.503098
39.50,4156.624352
39.60,4147.005181
39.70,4132.721401
39.80,4123.061604
39.90,4111.142831
40.00,4093.936686
