angle_deg,objective,grad_analytical,grad_numerical
-45.0,2975.396309,-2047.361987,-2003.062345
-44.0,2938.952943,-2379.073392,-2230.670936
-43.0,2900.872538,-2431.270041,-2158.856201
-42.0,2866.706430,-1399.985376,-1452.504833
-41.0,2844.065639,-1459.594370,-1553.446586
-40.0,2814.805844,-1660.145160,-1627.453361
-39.0,2789.117897,-1371.561224,-1461.030569
-38.0,2758.301861,-2058.663594,-1936.607599
-37.0,2725.161018,-1924.893822,-2094.088628
-36.0,2682.950732,-2428.005711,-2372.557969
-35.0,2646.749689,-1715.475864,-1795.415727
-34.0,2615.116438,-2165.485262,-1943.778610
-33.0,2580.924182,-2063.639513,-1830.240190
-32.0,2554.060076,-1436.905239,-1399.312477
-31.0,2525.053259,-2169.357961,-1942.286484
-30.0,2485.469192,-2627.894979,-2191.556137
-29.0,2455.081916,-1536.419394,-1603.586041
-28.0,2422.961582,-1900.405777,-1847.822835
-27.0,2393.218787,-1566.279573,-1578.925647
-26.0,2367.586545,-1274.400898,-1529.321684
-25.0,2338.407244,-1587.060821,-1584.586738
-24.0,2314.480429,-1668.878511,-1520.116077
-23.0,2285.547234,-1735.327305,-1642.457296
-22.0,2256.870705,-1698.584391,-1630.938195
-21.0,2225.604697,-1960.261292,-1892.465995
-20.0,2191.840531,-2018.467500,-1818.282138
-19.0,2166.893932,-1198.240355,-1102.882446
-18.0,2150.703340,-812.736771,-849.062365
-17.0,2134.388989,-1122.869204,-1019.736590
-16.0,2114.720069,-1203.505154,-1143.593329
-15.0,2088.619066,-1967.715052,-1862.652303
-14.0,2055.610982,-1627.930918,-1786.150788
-13.0,2024.438679,-2067.636757,-1989.270708
-12.0,1989.380817,-1992.288678,-1911.967911
-11.0,1959.564853,-1504.904187,-1686.675359
-10.0,1926.355446,-1839.539287,-1891.819585
-9.0,1894.060297,-1877.378509,-1806.200756
-8.0,1862.680806,-1688.653401,-1754.286968
-7.0,1834.275940,-1645.835163,-1586.390406
-6.0,1812.594767,-719.868210,-837.882538
-5.0,1799.878699,-816.033606,-783.958176
-4.0,1786.246164,-596.864578,-742.252931
-3.0,1778.822069,-270.613981,-135.743190
-2.0,1776.341342,-74.159109,-80.068341
-1.0,1777.386632,217.206929,242.652534
0.0,1792.340768,-37.688080,-148.519057
1.0,1772.394529,-488.780398,-377.373010
2.0,1768.879416,-262.670875,-295.048863
3.0,1760.524059,-674.633213,-506.172034
4.0,1753.710455,-566.994795,-356.322135
5.0,1759.156188,1207.484830,1063.652567
6.0,1782.580199,1433.534629,1331.703105
7.0,1801.680047,1238.337948,1058.279497
8.0,1821.117165,1482.760324,1436.513511
9.0,1851.115194,1568.850510,1746.510102
10.0,1884.739897,1774.369393,1699.499838
11.0,1910.279366,1900.063565,1662.368055
12.0,1941.474714,1751.614079,1706.247623
13.0,1968.607993,1370.007228,1592.098902
14.0,2001.499803,1748.353110,1918.067070
15.0,2032.833475,2126.027805,2001.056790
16.0,2069.090236,1515.819489,1973.099199
17.0,2105.202195,1999.014863,2070.727662
18.0,2141.123177,2558.497610,2255.155101
19.0,2181.732158,2491.402178,2462.362326
20.0,2230.995476,3270.191634,3044.437331
21.0,2284.267387,2766.452265,2790.529737
22.0,2326.923356,2136.813436,2308.404966
23.0,2367.009603,2216.266815,2313.782252
24.0,2407.376745,2249.343095,2388.310966
25.0,2450.764778,2361.181723,2468.739957
26.0,2489.588249,1686.945069,2015.649300
27.0,2524.275782,1914.304384,2017.977097
28.0,2556.413769,1310.883064,1537.156621
29.0,2580.166412,1430.228697,1328.207995
30.0,2600.193028,734.981706,937.499797
31.0,2614.146903,1003.056853,1252.819266
32.0,2651.192952,2886.919790,2747.983192
33.0,2700.068739,2236.208304,2122.578874
34.0,2729.489994,2002.306038,1957.392987
35.0,2772.305742,2522.920365,2641.937160
36.0,2817.878544,2483.936076,2660.059239
37.0,2867.027333,3020.679346,2921.391828
38.0,2920.790831,3211.487547,3192.623920
39.0,2977.967749,3514.458381,3479.408813
40.0,3033.792447,2467.286627,2745.922394
41.0,3079.489587,2381.337858,2532.325367
42.0,3124.404911,3019.306562,2945.601488
43.0,3177.187886,3145.943998,2961.951178
44.0,3227.865484,2837.841988,2664.221345
45.0,3271.472491,2662.000570,2519.780068
