angle_deg,objective,grad_analytical,grad_numerical,true_angle_deg
-10.0,1687.017383,3457.977122,4007.377641,0.0
-9.0,1611.995080,3353.960561,3950.157554,0.0
-8.0,1538.507193,5705.767100,5342.292814,0.0
-7.0,1448.712790,5343.790816,5177.700077,0.0
-6.0,1357.642452,4423.506686,5037.223578,0.0
-5.0,1277.095402,5959.791516,5546.965716,0.0
-4.0,1179.166949,5690.595256,6394.606581,0.0
-3.0,1049.711188,7765.283363,8324.182015,0.0
-2.0,880.995694,12483.927244,12120.350666,0.0
-1.0,636.891637,18258.645361,19285.015208,0.0
0.0,3.245346,-3.539518,163.096975,0.0
1.0,630.585407,-17330.513416,-18585.465721,0.0
2.0,861.762144,-11576.060629,-11239.873194,0.0
3.0,1018.963696,-7109.444498,-7546.622991,0.0
4.0,1139.289895,-4508.330398,-5230.100679,0.0
5.0,1220.225230,-4775.288594,-4406.700114,0.0
6.0,1288.932336,-3729.195487,-4122.443307,0.0
7.0,1367.604778,-4118.595334,-3962.925885,0.0
8.0,1444.580493,-4274.208182,-4317.500882,0.0
9.0,1506.266771,-2506.472366,-3236.975645,0.0
10.0,1569.985728,-2629.563688,-3086.342063,0.0
