initial_deg,converged,converged_true,final_omega1_deg,error_deg,frob_err,final_E,iters
10.0,False,False,nan,nan,nan,nan,-1
10.1,False,False,nan,nan,nan,nan,-1
10.2,False,False,nan,nan,nan,nan,-1
10.3,False,False,nan,nan,nan,nan,-1
10.4,False,False,nan,nan,nan,nan,-1
10.5,False,False,nan,nan,nan,nan,-1
10.6,False,False,nan,nan,nan,nan,-1
10.7,False,False,nan,nan,nan,nan,-1
10.8,False,False,nan,nan,nan,nan,-1
10.9,False,False,nan,nan,nan,nan,-1
11.0,False,False,nan,nan,nan,nan,-1
11.1,False,False,nan,nan,nan,nan,-1
11.2,False,False,nan,nan,nan,nan,-1
11.3,False,False,nan,nan,nan,nan,-1
11.4,False,False,nan,nan,nan,nan,-1
11.5,False,False,nan,nan,nan,nan,-1
11.6,False,False,nan,nan,nan,nan,-1
11.7,False,False,nan,nan,nan,nan,-1
11.8,False,False,nan,nan,nan,nan,-1
11.9,False,False,nan,nan,nan,nan,-1
12.0,False,False,nan,nan,nan,nan,-1
12.1,False,False,nan,nan,nan,nan,-1
12.2,False,False,nan,nan,nan,nan,-1
12.3,False,False,nan,nan,nan,nan,-1
12.4,False,False,nan,nan,nan,nan,-1
12.5,False,False,nan,nan,nan,nan,-1
12.6,False,False,nan,nan,nan,nan,-1
12.7,True,True,14.999945,-5.499999999969418e-05,1.49e-06,3.2453231802,123
12.8,True,True,14.999932,-6.800000000062312e-05,1.82e-06,3.2453226199,119
12.9,True,True,14.999956,-4.400000000082116e-05,1.16e-06,3.2453249309,111
13.0,True,True,14.999957,-4.2999999999793204e-05,1.16e-06,3.2453257007,101
13.1,True,True,14.999956,-4.400000000082116e-05,1.17e-06,3.2453248589,97
13.2,True,True,14.999939,-6.100000000053285e-05,1.66e-06,3.245322915,89
13.3,True,True,14.999938,-6.199999999978445e-05,1.68e-06,3.2453225656,81
13.4,True,True,14.999931,-6.899999999987472e-05,1.84e-06,3.2453224732,75
13.5,True,True,14.999957,-4.2999999999793204e-05,1.13e-06,3.2453252972,72
13.6,True,True,14.999956,-4.400000000082116e-05,1.16e-06,3.245324877,67
13.7,True,True,14.999944,-5.600000000072214e-05,1.51e-06,3.2453231423,59
13.8,True,True,14.999956,-4.400000000082116e-05,1.17e-06,3.2453248525,57
13.9,True,True,14.999934,-6.600000000034356e-05,1.77e-06,3.2453224238,49
14.0,True,True,14.99996,-4.000000000026205e-05,1.06e-06,3.2453258931,46
14.1,True,True,14.999956,-4.400000000082116e-05,1.17e-06,3.2453247929,43
14.2,True,True,14.999956,-4.400000000082116e-05,1.17e-06,3.245324785,39
14.3,True,True,14.999955,-4.500000000007276e-05,1.17e-06,3.2453247441,35
14.4,True,True,14.999957,-4.2999999999793204e-05,1.14e-06,3.2453249863,31
14.5,True,True,14.999944,-5.600000000072214e-05,1.51e-06,3.2453229921,27
14.6,True,True,14.999958,-4.2000000000541604e-05,1.11e-06,3.2453252289,24
14.7,True,True,14.999955,-4.500000000007276e-05,1.17e-06,3.245324671,23
14.8,True,True,14.999956,-4.400000000082116e-05,1.15e-06,3.2453247758,21
14.9,True,True,14.999957,-4.2999999999793204e-05,1.08e-06,3.2453253128,17
15.0,True,True,14.999953,-4.7000000000352316e-05,1.26e-06,3.245324158,9
15.1,True,True,14.999957,-4.2999999999793204e-05,1.08e-06,3.2453251492,17
15.2,True,True,14.999938,-6.199999999978445e-05,1.58e-06,3.2453222147,19
15.3,True,True,14.999936,-6.4000000000064e-05,1.64e-06,3.2453221144,21
15.4,True,True,14.999946,-5.400000000044258e-05,1.39e-06,3.2453228759,23
15.5,True,True,14.999951,-4.900000000063187e-05,1.3e-06,3.2453237443,27
