omega2_deg,E,dE_dw1,dE_dw2,grad_norm
20.0,1548.1392217130,-45.941665,-1649.353078,1649.992791
20.1,1545.6169464005,-105.840534,-1062.716214,1067.973768
20.2,1543.8842033784,-140.191476,-963.828613,973.970865
20.3,1542.1732596290,-129.310688,-1089.558698,1097.205273
20.4,1539.9464339740,-52.794299,-1464.806175,1465.757267
20.5,1536.8497036320,48.420157,-2123.447743,2123.999724
20.6,1533.0033409932,198.673632,-2242.952550,2251.734299
20.7,1529.0939813986,441.571948,-2123.255759,2168.686423
20.8,1525.2395345051,589.406935,-2285.392009,2360.173123
20.9,1521.3900759316,607.610549,-2151.853466,2235.992826
21.0,1517.5542398540,534.283793,-2251.894194,2314.408484
21.1,1513.3485050154,511.764194,-2532.749079,2583.935078
21.2,1509.4925829620,565.681576,-1926.065504,2007.417239
21.3,1506.5645158074,706.550087,-1396.173384,1564.772553
21.4,1504.1574817737,677.979447,-1532.175686,1675.475593
21.5,1501.2174801055,582.074445,-1918.307093,2004.672732
21.6,1497.5102285730,577.559759,-2124.458837,2201.567765
21.7,1493.7596339670,649.194174,-2151.425412,2247.239280
21.8,1490.2452540845,694.797384,-2012.594709,2129.150269
21.9,1486.4786480788,693.328725,-2213.537512,2319.580358
22.0,1482.3689565712,682.768165,-2449.809771,2543.175236
22.1,1478.4571060889,671.785414,-2113.252496,2217.460655
22.2,1474.7894075030,576.888850,-2031.773083,2112.084896
22.3,1471.3158772116,368.703363,-1869.085689,1905.104586
22.4,1468.2680369931,176.519814,-1693.747224,1702.920698
22.5,1465.1769279151,9.932839,-1842.612457,1842.639228
22.6,1462.0427287897,-198.473781,-1761.107971,1772.256507
22.7,1459.1123287107,-284.795056,-1569.452670,1595.083041
22.8,1456.2616536554,-409.271304,-1597.935037,1649.514893
22.9,1453.5562543823,-553.802549,-1468.004134,1568.991204
23.0,1451.4635009690,-573.833057,-1145.909688,1281.558969
23.1,1449.5429914423,-470.746511,-1117.722985,1212.809527
23.2,1447.0405820425,-291.855368,-1756.371681,1780.455290
