画像読み込み成功: images/base/base3.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_base3_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 50 / 40401  (ω1=5.0°, ω2=24.9°, E=1434.8291)
  進捗: 100 / 40401  (ω1=5.0°, ω2=29.9°, E=1392.6297)
  進捗: 150 / 40401  (ω1=5.0°, ω2=34.9°, E=1470.1921)
  進捗: 200 / 40401  (ω1=5.0°, ω2=39.9°, E=1570.2810)
  進捗: 250 / 40401  (ω1=5.1°, ω2=24.8°, E=1429.6718)
  進捗: 300 / 40401  (ω1=5.1°, ω2=29.8°, E=1381.2144)
  進捗: 350 / 40401  (ω1=5.1°, ω2=34.8°, E=1461.0747)
  進捗: 400 / 40401  (ω1=5.1°, ω2=39.8°, E=1561.7619)
  進捗: 450 / 40401  (ω1=5.2°, ω2=24.7°, E=1424.1383)
  進捗: 500 / 40401  (ω1=5.2°, ω2=29.7°, E=1369.8479)
  進捗: 550 / 40401  (ω1=5.2°, ω2=34.7°, E=1451.9712)
  進捗: 600 / 40401  (ω1=5.2°, ω2=39.7°, E=1553.4805)
  進捗: 650 / 40401  (ω1=5.3°, ω2=24.6°, E=1418.4314)
  進捗: 700 / 40401  (ω1=5.3°, ω2=29.6°, E=1358.4070)
  進捗: 750 / 40401  (ω1=5.3°, ω2=34.6°, E=1442.7681)
  進捗: 800 / 40401  (ω1=5.3°, ω2=39.6°, E=1545.6778)
  進捗: 850 / 40401  (ω1=5.4°, ω2=24.5°, E=1414.4713)
  進捗: 900 / 40401  (ω1=5.4°, ω2=29.5°, E=1347.7174)
  進捗: 950 / 40401  (ω1=5.4°, ω2=34.5°, E=1433.5205)
  進捗: 1000 / 40401  (ω1=5.4°, ω2=39.5°, E=1537.8737)
  進捗: 1050 / 40401  (ω1=5.5°, ω2=24.4°, E=1410.9202)
  進捗: 1100 / 40401  (ω1=5.5°, ω2=29.4°, E=1337.7456)
  進捗: 1150 / 40401  (ω1=5.5°, ω2=34.4°, E=1425.4177)
  進捗: 1200 / 40401  (ω1=5.5°, ω2=39.4°, E=1529.5743)
  進捗: 1250 / 40401  (ω1=5.6°, ω2=24.3°, E=1406.9488)
  進捗: 1300 / 40401  (ω1=5.6°, ω2=29.3°, E=1327.8666)
  進捗: 1350 / 40401  (ω1=5.6°, ω2=34.3°, E=1417.8570)
  進捗: 1400 / 40401  (ω1=5.6°, ω2=39.3°, E=1521.1839)
  進捗: 1450 / 40401  (ω1=5.7°, ω2=24.2°, E=1402.8413)
  進捗: 1500 / 40401  (ω1=5.7°, ω2=29.2°, E=1317.7757)
  進捗: 1550 / 40401  (ω1=5.7°, ω2=34.2°, E=1409.6846)
  進捗: 1600 / 40401  (ω1=5.7°, ω2=39.2°, E=1512.5931)
  進捗: 1650 / 40401  (ω1=5.8°, ω2=24.1°, E=1399.5835)
  進捗: 1700 / 40401  (ω1=5.8°, ω2=29.1°, E=1307.0151)
  進捗: 1750 / 40401  (ω1=5.8°, ω2=34.1°, E=1402.1909)
  進捗: 1800 / 40401  (ω1=5.8°, ω2=39.1°, E=1503.8560)
  進捗: 1850 / 40401  (ω1=5.9°, ω2=24.0°, E=1396.1627)
  進捗: 1900 / 40401  (ω1=5.9°, ω2=29.0°, E=1297.1377)
  進捗: 1950 / 40401  (ω1=5.9°, ω2=34.0°, E=1395.4835)
  進捗: 2000 / 40401  (ω1=5.9°, ω2=39.0°, E=1494.7973)
  進捗: 2050 / 40401  (ω1=6.0°, ω2=23.9°, E=1392.0862)
  進捗: 2100 / 40401  (ω1=6.0°, ω2=28.9°, E=1288.6900)
  進捗: 2150 / 40401  (ω1=6.0°, ω2=33.9°, E=1388.7653)
  進捗: 2200 / 40401  (ω1=6.0°, ω2=38.9°, E=1486.9049)
  進捗: 2250 / 40401  (ω1=6.1°, ω2=23.8°, E=1387.8788)
  進捗: 2300 / 40401  (ω1=6.1°, ω2=28.8°, E=1280.8410)
  進捗: 2350 / 40401  (ω1=6.1°, ω2=33.8°, E=1381.8645)
  進捗: 2400 / 40401  (ω1=6.1°, ω2=38.8°, E=1480.0636)
  進捗: 2450 / 40401  (ω1=6.2°, ω2=23.7°, E=1383.0796)
  進捗: 2500 / 40401  (ω1=6.2°, ω2=28.7°, E=1273.2092)
  進捗: 2550 / 40401  (ω1=6.2°, ω2=33.7°, E=1374.3168)
  進捗: 2600 / 40401  (ω1=6.2°, ω2=38.7°, E=1471.6904)
  進捗: 2650 / 40401  (ω1=6.3°, ω2=23.6°, E=1377.7604)
  進捗: 2700 / 40401  (ω1=6.3°, ω2=28.6°, E=1265.5216)
  進捗: 2750 / 40401  (ω1=6.3°, ω2=33.6°, E=1365.6522)
  進捗: 2800 / 40401  (ω1=6.3°, ω2=38.6°, E=1463.2214)
  進捗: 2850 / 40401  (ω1=6.4°, ω2=23.5°, E=1372.4130)
  進捗: 2900 / 40401  (ω1=6.4°, ω2=28.5°, E=1257.4787)
  進捗: 2950 / 40401  (ω1=6.4°, ω2=33.5°, E=1356.4797)
  進捗: 3000 / 40401  (ω1=6.4°, ω2=38.5°, E=1454.8950)
  進捗: 3050 / 40401  (ω1=6.5°, ω2=23.4°, E=1367.2787)
  進捗: 3100 / 40401  (ω1=6.5°, ω2=28.4°, E=1250.0321)
  進捗: 3150 / 40401  (ω1=6.5°, ω2=33.4°, E=1347.6156)
  進捗: 3200 / 40401  (ω1=6.5°, ω2=38.4°, E=1446.0373)
  進捗: 3250 / 40401  (ω1=6.6°, ω2=23.3°, E=1362.4222)
  進捗: 3300 / 40401  (ω1=6.6°, ω2=28.3°, E=1243.8932)
  進捗: 3350 / 40401  (ω1=6.6°, ω2=33.3°, E=1339.5190)
  進捗: 3400 / 40401  (ω1=6.6°, ω2=38.3°, E=1436.7816)
  進捗: 3450 / 40401  (ω1=6.7°, ω2=23.2°, E=1358.3526)
  進捗: 3500 / 40401  (ω1=6.7°, ω2=28.2°, E=1237.8970)
  進捗: 3550 / 40401  (ω1=6.7°, ω2=33.2°, E=1331.2046)
  進捗: 3600 / 40401  (ω1=6.7°, ω2=38.2°, E=1426.8306)
  進捗: 3650 / 40401  (ω1=6.8°, ω2=23.1°, E=1354.6010)
  進捗: 3700 / 40401  (ω1=6.8°, ω2=28.1°, E=1230.5874)
  進捗: 3750 / 40401  (ω1=6.8°, ω2=33.1°, E=1322.0169)
  進捗: 3800 / 40401  (ω1=6.8°, ω2=38.1°, E=1416.7016)
  進捗: 3850 / 40401  (ω1=6.9°, ω2=23.0°, E=1351.3081)
  進捗: 3900 / 40401  (ω1=6.9°, ω2=28.0°, E=1223.3325)
  進捗: 3950 / 40401  (ω1=6.9°, ω2=33.0°, E=1312.4318)
  進捗: 4000 / 40401  (ω1=6.9°, ω2=38.0°, E=1407.4080)
