画像読み込み成功: images/base/base.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 50 / 40401  (ω1=5.0°, ω2=24.9°, E=1554.0188)
  進捗: 100 / 40401  (ω1=5.0°, ω2=29.9°, E=1622.4035)
  進捗: 150 / 40401  (ω1=5.0°, ω2=34.9°, E=1803.7579)
  進捗: 200 / 40401  (ω1=5.0°, ω2=39.9°, E=1821.7567)
  進捗: 250 / 40401  (ω1=5.1°, ω2=24.8°, E=1552.5595)
  進捗: 300 / 40401  (ω1=5.1°, ω2=29.8°, E=1614.0955)
  進捗: 350 / 40401  (ω1=5.1°, ω2=34.8°, E=1800.5599)
  進捗: 400 / 40401  (ω1=5.1°, ω2=39.8°, E=1817.8595)
  進捗: 450 / 40401  (ω1=5.2°, ω2=24.7°, E=1551.8731)
  進捗: 500 / 40401  (ω1=5.2°, ω2=29.7°, E=1605.4512)
  進捗: 550 / 40401  (ω1=5.2°, ω2=34.7°, E=1797.0471)
  進捗: 600 / 40401  (ω1=5.2°, ω2=39.7°, E=1813.6723)
  進捗: 650 / 40401  (ω1=5.3°, ω2=24.6°, E=1551.7108)
  進捗: 700 / 40401  (ω1=5.3°, ω2=29.6°, E=1597.5518)
  進捗: 750 / 40401  (ω1=5.3°, ω2=34.6°, E=1792.5767)
  進捗: 800 / 40401  (ω1=5.3°, ω2=39.6°, E=1808.5437)
  進捗: 850 / 40401  (ω1=5.4°, ω2=24.5°, E=1552.5403)
  進捗: 900 / 40401  (ω1=5.4°, ω2=29.5°, E=1591.5753)
  進捗: 950 / 40401  (ω1=5.4°, ω2=34.5°, E=1788.1932)
  進捗: 1000 / 40401  (ω1=5.4°, ω2=39.5°, E=1803.6144)
  進捗: 1050 / 40401  (ω1=5.5°, ω2=24.4°, E=1554.6882)
  進捗: 1100 / 40401  (ω1=5.5°, ω2=29.4°, E=1586.9284)
  進捗: 1150 / 40401  (ω1=5.5°, ω2=34.4°, E=1783.3503)
  進捗: 1200 / 40401  (ω1=5.5°, ω2=39.4°, E=1799.5409)
  進捗: 1250 / 40401  (ω1=5.6°, ω2=24.3°, E=1557.0076)
  進捗: 1300 / 40401  (ω1=5.6°, ω2=29.3°, E=1580.8190)
  進捗: 1350 / 40401  (ω1=5.6°, ω2=34.3°, E=1776.9690)
  進捗: 1400 / 40401  (ω1=5.6°, ω2=39.3°, E=1796.1382)
  進捗: 1450 / 40401  (ω1=5.7°, ω2=24.2°, E=1559.2119)
  進捗: 1500 / 40401  (ω1=5.7°, ω2=29.2°, E=1573.3765)
  進捗: 1550 / 40401  (ω1=5.7°, ω2=34.2°, E=1770.4587)
  進捗: 1600 / 40401  (ω1=5.7°, ω2=39.2°, E=1793.8599)
  進捗: 1650 / 40401  (ω1=5.8°, ω2=24.1°, E=1561.2589)
  進捗: 1700 / 40401  (ω1=5.8°, ω2=29.1°, E=1565.2399)
  進捗: 1750 / 40401  (ω1=5.8°, ω2=34.1°, E=1764.3532)
  進捗: 1800 / 40401  (ω1=5.8°, ω2=39.1°, E=1790.5053)
  進捗: 1850 / 40401  (ω1=5.9°, ω2=24.0°, E=1562.9968)
  進捗: 1900 / 40401  (ω1=5.9°, ω2=29.0°, E=1555.5268)
  進捗: 1950 / 40401  (ω1=5.9°, ω2=34.0°, E=1758.4680)
  進捗: 2000 / 40401  (ω1=5.9°, ω2=39.0°, E=1785.4224)
  進捗: 2050 / 40401  (ω1=6.0°, ω2=23.9°, E=1563.7886)
  進捗: 2100 / 40401  (ω1=6.0°, ω2=28.9°, E=1545.1859)
  進捗: 2150 / 40401  (ω1=6.0°, ω2=33.9°, E=1752.7355)
  進捗: 2200 / 40401  (ω1=6.0°, ω2=38.9°, E=1780.3702)
  進捗: 2250 / 40401  (ω1=6.1°, ω2=23.8°, E=1563.0816)
  進捗: 2300 / 40401  (ω1=6.1°, ω2=28.8°, E=1535.0385)
  進捗: 2350 / 40401  (ω1=6.1°, ω2=33.8°, E=1747.6364)
  進捗: 2400 / 40401  (ω1=6.1°, ω2=38.8°, E=1774.9793)
  進捗: 2450 / 40401  (ω1=6.2°, ω2=23.7°, E=1561.1066)
  進捗: 2500 / 40401  (ω1=6.2°, ω2=28.7°, E=1525.1890)
  進捗: 2550 / 40401  (ω1=6.2°, ω2=33.7°, E=1742.4056)
  進捗: 2600 / 40401  (ω1=6.2°, ω2=38.7°, E=1768.8822)
  進捗: 2650 / 40401  (ω1=6.3°, ω2=23.6°, E=1557.9923)
  進捗: 2700 / 40401  (ω1=6.3°, ω2=28.6°, E=1515.9843)
  進捗: 2750 / 40401  (ω1=6.3°, ω2=33.6°, E=1737.2316)
  進捗: 2800 / 40401  (ω1=6.3°, ω2=38.6°, E=1763.3429)
  進捗: 2850 / 40401  (ω1=6.4°, ω2=23.5°, E=1555.2439)
  進捗: 2900 / 40401  (ω1=6.4°, ω2=28.5°, E=1506.5664)
  進捗: 2950 / 40401  (ω1=6.4°, ω2=33.5°, E=1732.7778)
  進捗: 3000 / 40401  (ω1=6.4°, ω2=38.5°, E=1757.7498)
  進捗: 3050 / 40401  (ω1=6.5°, ω2=23.4°, E=1553.7347)
  進捗: 3100 / 40401  (ω1=6.5°, ω2=28.4°, E=1495.9218)
  進捗: 3150 / 40401  (ω1=6.5°, ω2=33.4°, E=1728.4910)
  進捗: 3200 / 40401  (ω1=6.5°, ω2=38.4°, E=1750.6733)
  進捗: 3250 / 40401  (ω1=6.6°, ω2=23.3°, E=1552.8597)
  進捗: 3300 / 40401  (ω1=6.6°, ω2=28.3°, E=1485.2910)
  進捗: 3350 / 40401  (ω1=6.6°, ω2=33.3°, E=1723.5648)
  進捗: 3400 / 40401  (ω1=6.6°, ω2=38.3°, E=1743.6297)
  進捗: 3450 / 40401  (ω1=6.7°, ω2=23.2°, E=1552.5529)
  進捗: 3500 / 40401  (ω1=6.7°, ω2=28.2°, E=1474.5218)
  進捗: 3550 / 40401  (ω1=6.7°, ω2=33.2°, E=1717.3947)
  進捗: 3600 / 40401  (ω1=6.7°, ω2=38.2°, E=1737.3493)
  進捗: 3650 / 40401  (ω1=6.8°, ω2=23.1°, E=1553.9936)
  進捗: 3700 / 40401  (ω1=6.8°, ω2=28.1°, E=1463.3572)
  進捗: 3750 / 40401  (ω1=6.8°, ω2=33.1°, E=1708.8947)
  進捗: 3800 / 40401  (ω1=6.8°, ω2=38.1°, E=1731.2106)
  進捗: 3850 / 40401  (ω1=6.9°, ω2=23.0°, E=1557.2331)
  進捗: 3900 / 40401  (ω1=6.9°, ω2=28.0°, E=1453.5418)
  進捗: 3950 / 40401  (ω1=6.9°, ω2=33.0°, E=1698.9057)
  進捗: 4000 / 40401  (ω1=6.9°, ω2=38.0°, E=1726.2141)
