initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
25.0,True,False,-25.021086471371312,-55.02108647137131,0.12285457,1473.7810049538,19
25.1,True,False,-25.0999998335206,-55.0999998335206,0.12090856,1475.7430946679,9
25.2,True,False,-25.200351896709353,-55.20035189670935,0.11843382,1460.2032531163,23
25.3,True,False,-25.321446920291518,-55.32144692029152,0.11544747,1447.9585004245,17
25.4,True,False,-25.436319706178,-55.436319706178,0.11261453,1435.2972053546,23
25.5,True,False,-25.500000272352572,-55.50000027235257,0.11104379,1432.7644415212,9
25.6,True,False,-25.61648404296892,-55.61648404296892,0.10817086,1419.4799370724,15
25.7,True,False,-25.737098403990352,-55.73709840399035,0.10519617,1406.3774952345,23
25.8,True,False,-25.800000067344516,-55.80000006734451,0.10364433,1405.2630655104,9
25.9,True,False,-25.912441321567645,-55.91244132156764,0.10087083,1390.2837430277,14
26.0,True,False,-26.030982550286762,-56.030982550286765,0.09794691,1375.3171619083,20
26.1,True,False,-26.099999900552913,-56.099999900552916,0.09624415,1374.2629711738,10
26.2,True,False,-26.212144832465246,-56.21214483246524,0.09347769,1358.4203798673,14
26.3,True,False,-26.328141705746816,-56.328141705746816,0.09061627,1343.853280406,20
26.4,True,False,-26.400000047929147,-56.40000004792915,0.08884331,1345.0560018985,9
26.5,True,False,-26.506079048782855,-56.50607904878285,0.08622626,1328.8827778753,12
26.6,True,False,-26.620366068101372,-56.620366068101376,0.08340665,1314.4491413071,18
26.7,True,False,-26.742022901594634,-56.74202290159464,0.08040522,1298.5461538194,22
26.8,True,False,-26.799999924754715,-56.799999924754715,0.07897459,1293.1398036692,10
26.9,True,False,-26.92112720088897,-56.921127200888975,0.07598607,1276.9760394992,16
27.0,True,False,-27.03986583476161,-57.03986583476161,0.07305675,1259.4197981206,22
27.1,True,False,-27.100000261459847,-57.10000026145985,0.07157241,1255.7921839106,10
27.2,True,False,-27.21786526743587,-57.21786526743587,0.0686642,1236.5675223266,18
27.3,True,False,-27.336442102965222,-57.33644210296522,0.06573862,1217.3353730371,20
27.4,True,False,-27.399999628413717,-57.39999962841372,0.06416974,1213.950171541,10
27.5,True,False,-27.516968014051447,-57.51696801405144,0.06128348,1193.969797043,14
27.6,True,False,-27.634000344313147,-57.63400034431315,0.05839573,1173.8822907158,18
27.7,True,False,-27.700000103812418,-57.700000103812414,0.05676663,1170.5775272787,10
27.8,True,False,-27.80987950558103,-57.80987950558103,0.05405505,1149.1544364677,14
27.9,True,False,-27.928693960313662,-57.928693960313666,0.05112309,1127.9769516344,16
28.0,True,False,-28.050779316823206,-58.05077931682321,0.04811066,1105.7155039153,20
28.1,True,False,-28.11148662562682,-58.111486625626824,0.04661178,1097.2000279206,12
28.2,True,False,-28.224760760834886,-58.22476076083488,0.04381637,1069.9725260798,14
28.3,True,False,-28.34853923949208,-58.348539239492084,0.04076219,1041.9947787626,18
28.4,True,False,-28.40607088254219,-58.40607088254219,0.03934147,1032.3970915718,12
28.5,True,False,-28.52609238676382,-58.52609238676382,0.03637965,1003.6789731673,14
28.6,False,False,nan,nan,nan,nan,-1
28.7,False,False,nan,nan,nan,nan,-1
28.8,False,False,nan,nan,nan,nan,-1
28.9,False,False,nan,nan,nan,nan,-1
29.0,True,True,-30.00037385128067,-60.00037385128067,9.04e-06,2.7373796648,69
29.1,True,True,-30.00046986393022,-60.00046986393022,1.141e-05,2.7344828064,59
29.2,True,True,-30.000273219344066,-60.000273219344066,6.6e-06,2.7409870063,50
29.3,True,True,-30.00045728493806,-60.000457284938065,1.107e-05,2.7346207379,43
29.4,True,True,-30.00004246467993,-60.00004246467993,1.73e-06,2.7502198083,34
29.5,True,True,-30.000082759397685,-60.000082759397685,2.39e-06,2.7485156242,30
29.6,True,True,-30.000502198942495,-60.0005021989425,1.216e-05,2.7331008106,25
29.7,True,True,-30.00049423923783,-60.00049423923783,1.198e-05,2.7333189568,21
29.8,True,True,-30.00009071910212,-60.00009071910212,2.53e-06,2.7481881105,18
29.9,True,True,-30.001354439703253,-60.00135443970325,3.406e-05,2.7191070632,15
30.0,True,True,-30.00000010841618,-60.00000010841618,5.7e-07,2.7511352888,8
30.1,True,True,-30.000377191697773,-60.00037719169777,9.1e-06,2.7370938674,15
30.2,True,True,-30.00081716993984,-60.000817169939836,1.994e-05,2.7248709236,17
30.3,True,True,-30.00173997887682,-60.00173997887682,4.301e-05,2.7152943063,25
30.4,True,True,-30.001706861186584,-60.001706861186584,4.225e-05,2.7157865514,29
30.5,True,True,-30.000798692790404,-60.000798692790404,1.954e-05,2.7259871174,29
30.6,True,True,-30.000409526710243,-60.00040952671024,9.96e-06,2.7368290312,35
30.7,True,True,-30.00089982092011,-60.00089982092011,2.209e-05,2.7246338035,41
30.8,True,True,-30.000428786536624,-60.000428786536624,1.054e-05,2.7367857036,49
30.9,True,True,-30.00145684670029,-60.00145684670029,3.64e-05,2.7226572935,59
31.0,False,False,nan,nan,nan,nan,-1
31.1,False,False,nan,nan,nan,nan,-1
31.2,False,False,nan,nan,nan,nan,-1
31.3,False,False,nan,nan,nan,nan,-1
31.4,False,False,nan,nan,nan,nan,-1
31.5,True,False,-31.45421589281544,-61.45421589281544,0.03589375,1004.9796645365,18
31.6,True,False,-31.57418423159878,-61.57418423159878,0.03885382,1035.2577976465,14
31.7,True,False,-31.68813979540977,-61.68813979540977,0.04166605,1064.9702086542,12
31.8,True,False,-31.749472255902333,-61.74947225590233,0.04318035,1075.5525314953,18
31.9,True,False,-31.87393541563893,-61.873935415638925,0.04625152,1104.0453301742,18
32.0,True,False,-31.989028977349562,-61.98902897734956,0.04909183,1129.913027845,12
32.1,True,False,-32.10000006547236,-62.10000006547236,0.05183044,1155.0752940749,10
32.2,True,False,-32.17003837718765,-62.17003837718765,0.05355907,1160.229432277,22
32.3,True,False,-32.286074998796096,-62.286074998796096,0.05642248,1182.1826230047,14
32.4,True,False,-32.399999621043044,-62.399999621043044,0.05923381,1204.5388957448,10
32.5,True,False,-32.464456927967774,-62.464456927967774,0.06082479,1208.7826675154,18
32.6,True,False,-32.581920333153285,-62.581920333153285,0.06372311,1230.0940805949,14
32.7,True,False,-32.70000003718387,-62.70000003718387,0.06663678,1251.366191653,10
32.8,True,False,-32.761029676066386,-62.761029676066386,0.06814304,1256.5794776918,20
32.9,True,False,-32.88184737152559,-62.88184737152559,0.07112398,1277.1491404799,24
33.0,True,False,-33.00000017542523,-63.00000017542523,0.07403929,1296.7299235975,10
33.1,True,False,-33.06249133257992,-63.06249133257992,0.07558128,1303.4044518261,20
33.2,True,False,-33.1802551124443,-63.1802551124443,0.07848686,1321.3561500219,16
33.3,True,False,-33.29685158396101,-63.29685158396101,0.08136362,1338.6947670272,34
33.4,True,False,-33.40000009886296,-63.40000009886296,0.08390851,1360.1980448847,10
33.5,True,False,-33.4749986782865,-63.4749986782865,0.08575888,1362.1199455636,18
33.6,True,False,-33.591517436588326,-63.591517436588326,0.08863349,1378.2127042274,28
33.7,True,False,-33.700000189375956,-63.700000189375956,0.09130976,1396.6512503031,10
33.8,True,False,-33.76938838215433,-63.76938838215433,0.09302165,1398.6142586979,22
33.9,True,False,-33.884470644972644,-63.884470644972644,0.09586053,1416.8553999953,14
34.0,True,False,-33.99999991700028,-63.99999991700028,0.09871038,1435.8927632701,10
34.1,True,False,-34.06208743766408,-64.06208743766408,0.10024215,1438.9868631015,20
34.2,True,False,-34.18355799476594,-64.18355799476595,0.10323824,1457.3000846694,20
34.3,True,False,-34.300000195444525,-64.30000019544453,0.10611033,1475.293312859,10
34.4,True,False,-34.36151362216308,-64.36151362216307,0.10762776,1478.2211135958,22
34.5,True,False,-34.47806013815423,-64.47806013815423,0.11050215,1496.0934856824,16
34.6,True,False,-34.59785161606429,-64.59785161606429,0.11345656,1513.4204172879,22
34.7,True,False,-34.658660299782994,-64.658660299783,0.11495643,1516.9246691783,28
34.8,True,False,-34.77611980889432,-64.77611980889432,0.11785308,1533.6744096093,26
34.9,True,False,-34.893639194478524,-64.89363919447852,0.12075114,1550.2356899865,12
35.0,True,False,-35.00000031221116,-65.00000031221116,0.12337395,1568.042710626,10
