# case=-29.2
case,iter,E,norm_dw,C
-29.2,0,710.6299786877,0.0,1.000000e-04
-29.2,1,688.2835726924,5.95719681e-04,1.000000e-05
-29.2,2,665.8429929924,6.44253187e-04,1.000000e-06
-29.2,3,648.6416121557,6.80975227e-04,1.000000e-07
-29.2,4,621.3049546818,6.46521415e-04,1.000000e-08
-29.2,5,596.9641947586,7.30960445e-04,1.000000e-09
-29.2,6,574.3799754334,7.52721010e-04,1.000000e-10
-29.2,7,545.3511527450,7.38911589e-04,1.000000e-11
-29.2,8,512.1456379311,8.13233704e-04,1.000000e-12
-29.2,9,474.4457589714,8.97249015e-04,1.000000e-13
-29.2,10,428.7703070401,9.78893121e-04,1.000000e-14
-29.2,11,369.1646386027,1.09496518e-03,1.000000e-15
-29.2,12,284.7738408565,1.29606634e-03,1.000000e-16
-29.2,13,154.2017459849,1.60035411e-03,1.000000e-17
-29.2,14,19.1588079988,1.83775088e-03,1.000000e-18
-29.2,15,2.2924660944,8.70872203e-04,1.000000e-19
-29.2,16,2.2078706145,1.38543412e-04,1.000000e-20
-29.2,17,2.1186396677,3.44235568e-05,1.000000e-21
-29.2,18,2.1186396677,9.52547638e-06,1.000000e-20
-29.2,19,2.1186396677,9.52547638e-06,1.000000e-19
-29.2,20,2.1186396677,9.52547638e-06,1.000000e-18
-29.2,21,2.1186396677,9.52547638e-06,1.000000e-17
-29.2,22,2.1186396677,9.52547638e-06,1.000000e-16
-29.2,23,2.1186396677,9.52547638e-06,1.000000e-15
-29.2,24,2.1186396677,9.52547638e-06,1.000000e-14
-29.2,25,2.1186396677,9.52547638e-06,1.000000e-13
-29.2,26,2.1186396677,9.52547638e-06,1.000000e-12
-29.2,27,2.1186396677,9.52547638e-06,1.000000e-11
-29.2,28,2.1186396677,9.52547638e-06,1.000000e-10
-29.2,29,2.1186396677,9.52547638e-06,1.000000e-09
-29.2,30,2.1186396677,9.52547637e-06,1.000000e-08
-29.2,31,2.1186396677,9.52547627e-06,1.000000e-07
-29.2,32,2.1186396677,9.52547527e-06,1.000000e-06
-29.2,33,2.1186396677,9.52546530e-06,1.000000e-05
-29.2,34,2.1186396677,9.52536563e-06,1.000000e-04
-29.2,35,2.1186396677,9.52436901e-06,1.000000e-03
-29.2,36,2.1186396677,9.51441589e-06,1.000000e-02
-29.2,37,2.1186396677,9.41617348e-06,1.000000e-01
-29.2,38,2.1186396677,8.54650594e-06,1.000000e+00
-29.2,39,2.1186396677,4.59560653e-06,1.000000e+01
-29.2,40,2.1186396677,8.57714600e-07,1.000000e+02
-29.2,41,2.1186396677,9.43449251e-08,1.000000e+03
-29.2,42,2.1186396677,9.53051163e-09,1.000000e+04
