angle_deg,analytical_derivative,numerical_derivative
20.00,-9441.099445,-8226.942144
20.10,-10068.444190,-10195.076981
20.20,-8307.281874,-9829.656629
20.30,-5473.015842,-3836.603418
20.40,-7228.307763,-6991.078711
20.50,-11588.605048,-12841.569853
20.60,-11513.257684,-9703.996620
20.70,-8864.685392,-8333.419122
20.80,-8724.147929,-9624.997764
20.90,-9440.426953,-7989.785611
21.00,-9961.312517,-9194.608845
21.10,-11708.278421,-12335.984253
21.20,-10623.052831,-12638.005793
21.30,-7942.101653,-6869.652601
21.40,-10321.353487,-10706.940589
21.50,-16680.840374,-18496.238253
21.60,-16560.739766,-15258.788035
21.70,-8533.967948,-8668.947357
21.80,-301.407807,-1890.785627
21.90,5052.902970,6654.129267
22.00,5358.603960,5645.445633
22.10,2535.407892,1353.811908
22.20,-369.584323,1569.188312
22.30,1323.560513,1904.572263
22.40,4408.243892,3580.516721
22.50,5436.435767,5557.833856
22.60,7540.835711,8415.017842
22.70,10056.686997,9506.995478
22.80,8984.564355,7052.459459
22.90,8035.574266,9166.025599
23.00,15650.127251,15395.085458
23.10,24866.458393,23237.421773
23.20,26700.048030,28171.161029
23.30,22236.168338,22336.016412
23.40,14320.384543,13004.595767
23.50,10121.334359,11859.474081
23.60,12716.416858,13098.662068
23.70,17191.502120,16163.039589
23.80,20654.189703,22577.943690
23.90,19610.328692,20324.604976
24.00,9470.282185,8893.257524
24.10,-1100.410473,-2315.054797
24.20,-6123.709941,-5042.664467
24.30,-10963.741970,-11111.150097
24.40,-14790.281862,-16074.185823
24.50,-14917.641494,-13372.533506
24.60,-14779.213514,-14727.169436
24.70,-18905.843148,-20092.873708
24.80,-20193.374008,-18544.899450
24.90,-16225.017340,-15973.039267
25.00,-11712.939707,-12689.901038
25.10,-8283.335910,-6567.673557
25.20,-4942.407774,-4461.698567
25.30,-1165.329035,-1918.741579
25.40,2678.314151,4046.474508
25.50,4657.420656,5361.609825
25.60,2681.586102,2197.595463
25.70,3112.253407,1513.427001
25.80,6389.526540,7225.657915
25.90,9537.882730,9212.372498
26.00,11572.444558,10202.652241
26.10,12462.027840,13674.527474
26.20,12954.732260,12965.478933
26.30,14766.447516,13615.988595
26.40,15351.920529,16772.738643
26.50,8654.901134,8974.638859
26.60,-910.985536,-1513.143676
26.70,-6704.236297,-5092.111724
26.80,-6589.387709,-6320.594031
26.90,-1337.105082,-1977.483169
27.00,4906.871613,5069.066924
27.10,5161.187188,5996.735329
27.20,918.163982,602.912028
27.30,-3631.393129,-4887.977707
27.40,-12325.679992,-11297.176034
27.50,-20309.801296,-20334.624686
27.60,-21696.490736,-22774.070602
27.70,-20607.430929,-19452.825404
27.80,-18462.760444,-18356.267139
27.90,-19668.347585,-20522.563522
28.00,-26223.876253,-25001.164721
28.10,-32367.170834,-32096.185953
28.20,-33847.368202,-34503.641043
28.30,-30071.385249,-28582.066161
28.40,-25058.835821,-24561.693716
28.50,-20106.396108,-20630.538511
28.60,-15678.007888,-16673.132370
28.70,-12541.256744,-11845.427401
28.80,-11040.119098,-11317.902345
28.90,-11735.898026,-13003.676658
29.00,-10929.863091,-10046.472328
29.10,-7108.127524,-7190.930834
29.20,-2832.462204,-3834.010611
29.30,-4924.543513,-3856.632849
29.40,-8004.811502,-7890.048738
29.50,-6864.475529,-7731.635846
29.60,-1872.322533,-535.629421
29.70,-537.896978,-204.182587
29.80,-85.358035,-722.587391
29.90,3257.267685,4304.836584
30.00,7772.129512,8317.316642
30.10,10104.657852,9688.707796
30.20,10263.262267,8880.646239
30.30,11686.513098,12269.916589
30.40,18451.009008,17943.311420
30.50,21887.024948,20668.381313
30.60,17823.798457,18724.978986
30.70,9930.782992,9881.992226
30.80,3544.622029,2520.887518
