# case=-29.0
case,iter,E,norm_dw,C
-29.0,0,800.6740624963,0.0,1.000000e-04
-29.0,1,785.2108958383,5.03178946e-04,1.000000e-05
-29.0,2,770.3915364477,5.31168271e-04,1.000000e-06
-29.0,3,753.7407333653,5.48116324e-04,1.000000e-07
-29.0,4,739.8128612258,5.77487630e-04,1.000000e-08
-29.0,5,720.2431179900,5.75167713e-04,1.000000e-09
-29.0,6,706.8039743234,6.26105905e-04,1.000000e-10
-29.0,7,685.2126200542,6.00768485e-04,1.000000e-11
-29.0,8,667.0694923484,6.65060973e-04,1.000000e-12
-29.0,9,647.9612610733,6.66671239e-04,1.000000e-13
-29.0,10,624.6887400802,6.73631056e-04,1.000000e-14
-29.0,11,602.9911404209,7.19617341e-04,1.000000e-15
-29.0,12,580.2782743830,7.20348368e-04,1.000000e-16
-29.0,13,552.4109201821,7.32852466e-04,1.000000e-17
-29.0,14,522.1407824801,8.00318409e-04,1.000000e-18
-29.0,15,488.0856465936,8.53349029e-04,1.000000e-19
-29.0,16,447.8615701114,9.08731429e-04,1.000000e-20
-29.0,17,397.1917539073,9.87297218e-04,1.000000e-21
-29.0,18,327.4911560880,1.12656007e-03,1.000000e-22
-29.0,19,220.3629307254,1.38880982e-03,1.000000e-23
-29.0,20,70.1129201898,1.81298494e-03,1.000000e-24
-29.0,21,2.2187127544,1.56772079e-03,1.000000e-25
-29.0,22,2.1279245079,5.27059536e-05,1.000000e-26
-29.0,23,2.1279245079,6.18055774e-06,1.000000e-25
-29.0,24,2.1279245079,6.18055774e-06,1.000000e-24
-29.0,25,2.1279245079,6.18055774e-06,1.000000e-23
-29.0,26,2.1279245079,6.18055774e-06,1.000000e-22
-29.0,27,2.1279245079,6.18055774e-06,1.000000e-21
-29.0,28,2.1279245079,6.18055774e-06,1.000000e-20
-29.0,29,2.1279245079,6.18055774e-06,1.000000e-19
-29.0,30,2.1279245079,6.18055774e-06,1.000000e-18
-29.0,31,2.1279245079,6.18055774e-06,1.000000e-17
-29.0,32,2.1279245079,6.18055774e-06,1.000000e-16
-29.0,33,2.1279245079,6.18055774e-06,1.000000e-15
-29.0,34,2.1279245079,6.18055774e-06,1.000000e-14
-29.0,35,2.1279245079,6.18055774e-06,1.000000e-13
-29.0,36,2.1279245079,6.18055774e-06,1.000000e-12
-29.0,37,2.1279245079,6.18055774e-06,1.000000e-11
-29.0,38,2.1279245079,6.18055774e-06,1.000000e-10
-29.0,39,2.1279245079,6.18055774e-06,1.000000e-09
-29.0,40,2.1279245079,6.18055773e-06,1.000000e-08
-29.0,41,2.1279245079,6.18055766e-06,1.000000e-07
-29.0,42,2.1279245079,6.18055689e-06,1.000000e-06
-29.0,43,2.1279245079,6.18054920e-06,1.000000e-05
-29.0,44,2.1279245079,6.18047235e-06,1.000000e-04
-29.0,45,2.1279245079,6.17970396e-06,1.000000e-03
-29.0,46,2.1279245079,6.17203081e-06,1.000000e-02
-29.0,47,2.1279245079,6.09636515e-06,1.000000e-01
-29.0,48,2.1279245079,5.43284170e-06,1.000000e+00
-29.0,49,2.1279245079,2.62897112e-06,1.000000e+01
-29.0,50,2.1279245079,4.34224133e-07,1.000000e+02
-29.0,51,2.1279245079,4.65530874e-08,1.000000e+03
-29.0,52,2.1279245079,4.68933613e-09,1.000000e+04
# case=-28.0
case,iter,E,norm_dw,C
-28.0,0,1070.8571402515,0.0,1.000000e-04
-28.0,1,1068.3399809717,2.05008186e-04,1.000000e-05
-28.0,2,1061.1854142629,2.04802425e-04,1.000000e-06
-28.0,3,1056.4814914083,2.20335740e-04,1.000000e-07
-28.0,4,1054.7858766818,2.28033307e-04,1.000000e-08
-28.0,5,1054.7858766818,2.24497194e-04,1.000000e-07
-28.0,6,1054.7858766818,2.24497173e-04,1.000000e-06
-28.0,7,1054.7858766818,2.24496957e-04,1.000000e-05
-28.0,8,1054.7858766818,2.24494796e-04,1.000000e-04
-28.0,9,1054.7858766818,2.24473197e-04,1.000000e-03
-28.0,10,1054.7858766818,2.24257464e-04,1.000000e-02
-28.0,11,1054.7858766818,2.22126283e-04,1.000000e-01
-28.0,12,1054.7858766818,2.03113098e-04,1.000000e+00
-28.0,13,1054.7858766818,1.12908206e-04,1.000000e+01
-28.0,14,1054.7858766818,2.16178209e-05,1.000000e+02
-28.0,15,1054.7849945567,2.38781378e-06,1.000000e+01
-28.0,16,1054.7849945567,2.16090384e-05,1.000000e+02
-28.0,17,1054.7844444021,2.38686093e-06,1.000000e+01
-28.0,18,1054.7844444021,2.16001593e-05,1.000000e+02
-28.0,19,1054.7842271616,2.38589754e-06,1.000000e+01
-28.0,20,1054.7842271616,2.15911849e-05,1.000000e+02
-28.0,21,1054.7842271616,2.38492376e-06,1.000000e+03
-28.0,22,1054.7842237928,2.41026768e-07,1.000000e+02
-28.0,23,1054.7842237928,2.38482478e-06,1.000000e+03
-28.0,24,1054.7842236558,2.41016786e-07,1.000000e+02
-28.0,25,1054.7842236558,2.38472570e-06,1.000000e+03
-28.0,26,1054.7842236558,2.41006793e-07,1.000000e+04
-28.0,27,1054.7842236558,2.41263327e-08,1.000000e+05
-28.0,28,1054.7842236558,2.41289012e-09,1.000000e+06
# case=-25.0
case,iter,E,norm_dw,C
-25.0,0,1356.1661634804,0.0,1.000000e-04
-25.0,1,1353.4140869175,9.07289069e-05,1.000000e-05
-25.0,2,1351.1576357820,9.32548061e-05,1.000000e-06
-25.0,3,1349.4395886157,9.51758968e-05,1.000000e-07
-25.0,4,1348.2891665357,9.63633921e-05,1.000000e-08
-25.0,5,1347.7183770461,9.67309846e-05,1.000000e-09
-25.0,6,1347.7183770461,9.62582839e-05,1.000000e-08
-25.0,7,1347.7183770461,9.62582832e-05,1.000000e-07
-25.0,8,1347.7183770461,9.62582757e-05,1.000000e-06
-25.0,9,1347.7183770461,9.62582007e-05,1.000000e-05
-25.0,10,1347.7183770461,9.62574505e-05,1.000000e-04
-25.0,11,1347.7183770461,9.62499497e-05,1.000000e-03
-25.0,12,1347.7183770461,9.61750114e-05,1.000000e-02
-25.0,13,1347.7151139166,9.54324907e-05,1.000000e-03
-25.0,14,1347.7151139166,9.49293885e-05,1.000000e-02
-25.0,15,1347.7151139166,9.41972928e-05,1.000000e-01
-25.0,16,1347.7151139166,8.74901768e-05,1.000000e+00
-25.0,17,1347.7151139166,5.15794583e-05,1.000000e+01
-25.0,18,1347.7151139166,1.02053778e-05,1.000000e+02
-25.0,19,1347.7151139166,1.13201272e-06,1.000000e+03
-25.0,20,1347.7151139166,1.14452610e-07,1.000000e+04
-25.0,21,1347.7151139166,1.14579279e-08,1.000000e+05
-25.0,22,1347.7151139166,1.14591962e-09,1.000000e+06
