angle_deg,objective_function
20.00,3563.806748
20.10,3575.890039
20.20,3600.810128
20.30,3612.332795
20.40,3613.817966
20.50,3635.511868
20.60,3663.850493
20.70,3669.880180
20.80,3686.872074
20.90,3715.468625
21.00,3718.467196
21.10,3737.010580
21.20,3770.220552
21.30,3775.458079
21.40,3786.625611
21.50,3819.882943
21.60,3847.939394
21.70,3864.182183
21.80,3879.029599
21.90,3876.471578
22.00,3856.828442
22.10,3853.969461
22.20,3861.388669
22.30,3849.418367
22.40,3845.358995
22.50,3849.290498
22.60,3825.750427
22.70,3808.715927
22.80,3802.319965
22.90,3781.637852
23.00,3758.074730
23.10,3731.096928
23.20,3682.222121
23.30,3631.126293
23.40,3604.793895
23.50,3589.943353
23.60,3560.790618
23.70,3537.844325
23.80,3515.516063
23.90,3465.603533
24.00,3438.428307
24.10,3445.835539
24.20,3440.180793
24.30,3452.695546
24.40,3484.835755
24.50,3505.726797
24.60,3524.926902
24.70,3560.705132
24.80,3596.033574
24.90,3620.845097
25.00,3649.395878
25.10,3672.153410
25.20,3673.973380
25.30,3681.180585
25.40,3690.466183
25.50,3671.214368
25.60,3664.066338
25.70,3670.394591
25.80,3653.928056
25.90,3637.031046
26.00,3626.754418
26.10,3602.104480
26.20,3574.672421
26.30,3556.696288
26.40,3530.923986
26.50,3500.615419
26.60,3497.402488
26.70,3511.199950
26.80,3515.094413
26.90,3524.575708
27.00,3531.004943
27.10,3510.132830
27.20,3503.486577
27.30,3514.305795
27.40,3521.035954
27.50,3547.650490
27.60,3592.138245
27.70,3627.781749
27.80,3656.758725
27.90,3692.998717
28.00,3734.952883
28.10,3780.248386
28.20,3841.825512
28.30,3905.436345
28.40,3944.931319
28.50,3984.995836
28.60,4026.314559
28.70,4041.311660
28.80,4059.872496
28.90,4087.242280
29.00,4103.199142
29.10,4116.068599
29.20,4129.902793
29.30,4134.967575
29.40,4141.895496
29.50,4159.825796
29.60,4171.879010
29.70,4165.752959
29.80,4168.457002
29.90,4174.603042
30.00,4155.861588
30.10,4139.491080
30.20,4130.323473
30.30,4105.405476
30.40,4077.772685
30.50,4048.273900
30.60,4009.235730
30.70,3980.773691
30.80,3975.203680
30.90,3972.992590
31.00,3967.873671
31.10,3977.103288
31.20,3989.242963
31.30,3991.252591
31.40,4002.617602
31.50,4022.728486
31.60,4023.570714
31.70,4032.645340
31.80,4048.839975
31.90,4047.842536
32.00,4053.995049
32.10,4077.986511
32.20,4101.864926
32.30,4121.992271
32.40,4139.247181
32.50,4145.703990
32.60,4144.431056
32.70,4153.948118
32.80,4162.645879
32.90,4149.780499
33.00,4138.759948
33.10,4129.870757
33.20,4098.543294
33.30,4070.994297
33.40,4057.318459
33.50,4041.162916
33.60,4029.868943
33.70,4032.279414
33.80,4037.910788
33.90,4043.564494
34.00,4063.015428
34.10,4091.175028
34.20,4108.542548
34.30,4127.537602
34.40,4155.141317
34.50,4176.211669
34.60,4201.981841
34.70,4229.967565
34.80,4233.773041
34.90,4237.887637
35.00,4250.591522
35.10,4256.867358
35.20,4267.232562
35.30,4296.292392
35.40,4325.385898
35.50,4343.043058
35.60,4358.435638
35.70,4364.059217
35.80,4351.090739
35.90,4346.047377
36.00,4350.398486
36.10,4333.076076
36.20,4321.875042
36.30,4324.379036
36.40,4318.685266
36.50,4316.500397
36.60,4321.431547
36.70,4313.823907
36.80,4301.791482
36.90,4297.902094
37.00,4294.715538
37.10,4284.342479
37.20,4276.886735
37.30,4270.367160
37.40,4252.880066
37.50,4240.288517
37.60,4229.492592
37.70,4201.469036
37.80,4184.957041
37.90,4184.137358
38.00,4175.689306
38.10,4166.360044
38.20,4169.435540
38.30,4171.118306
38.40,4171.910544
38.50,4177.493634
38.60,4174.588520
38.70,4162.079753
38.80,4163.408927
38.90,4172.598158
39.00,4170.334849
39.10,4174.246261
39.20,4190.913012
39.30,4188.309695
39.40,4181.810494
39.50,4180.469818
39.60,4170.561634
39.70,4155.963283
39.80,4146.916527
39.90,4134.501357
40.00,4117.719298
