omega1_deg,omega2_deg,E
5.0,20.0,1698.3573955897
5.0,21.0,1655.8138366536
5.0,22.0,1614.6554290699
5.0,23.0,1602.8192313804
5.0,24.0,1580.8987788831
5.0,25.0,1551.5076867526
5.0,26.0,1545.7355111041
5.0,27.0,1536.3587027331
5.0,28.0,1570.1060354719
5.0,29.0,1601.7972459199
5.0,30.0,1624.6482479153
5.0,31.0,1674.2154678365
5.0,32.0,1738.5292497819
5.0,33.0,1772.4774677078
5.0,34.0,1796.5343462762
5.0,35.0,1803.8661386757
5.0,36.0,1798.5633871794
5.0,37.0,1790.1778716385
5.0,38.0,1800.8173738289
5.0,39.0,1812.5949194116
5.0,40.0,1823.0620193235
6.0,20.0,1679.9296471233
6.0,21.0,1659.5074976492
6.0,22.0,1607.1391867134
6.0,23.0,1570.9832730536
6.0,24.0,1561.2319612777
6.0,25.0,1521.1935701695
6.0,26.0,1509.6081848639
6.0,27.0,1489.6528339940
6.0,28.0,1509.4557101572
6.0,29.0,1549.8033022719
6.0,30.0,1571.8630416874
6.0,31.0,1620.1822807357
6.0,32.0,1691.9071808012
6.0,33.0,1738.1104284795
6.0,34.0,1754.1782531422
6.0,35.0,1764.5124372067
6.0,36.0,1748.9690746968
6.0,37.0,1746.4614831980
6.0,38.0,1757.9012869353
6.0,39.0,1782.6555327776
6.0,40.0,1791.6636002533
7.0,20.0,1661.2061786898
7.0,21.0,1650.9823413677
7.0,22.0,1615.6033859698
7.0,23.0,1556.9772695374
7.0,24.0,1535.1708747863
7.0,25.0,1502.9260695679
7.0,26.0,1466.6294383189
7.0,27.0,1456.1343615117
7.0,28.0,1447.6963752954
7.0,29.0,1487.2602609044
7.0,30.0,1518.0523590503
7.0,31.0,1572.2765399722
7.0,32.0,1636.5518984513
7.0,33.0,1694.5253956653
7.0,34.0,1720.7753376446
7.0,35.0,1723.5449389966
7.0,36.0,1714.0730610925
7.0,37.0,1709.3597405846
7.0,38.0,1723.8818021465
7.0,39.0,1753.1153596641
7.0,40.0,1764.4646019579
8.0,20.0,1641.2146521393
8.0,21.0,1626.7194429562
8.0,22.0,1608.1609434681
8.0,23.0,1552.9714244776
8.0,24.0,1504.2330437798
8.0,25.0,1479.4574046775
8.0,26.0,1426.6427220213
8.0,27.0,1402.9856970751
8.0,28.0,1395.2343357363
8.0,29.0,1409.9512629575
8.0,30.0,1454.2484078954
8.0,31.0,1515.9635933901
8.0,32.0,1583.8788207346
8.0,33.0,1645.2081107033
8.0,34.0,1685.8628047367
8.0,35.0,1697.5926864054
8.0,36.0,1690.6296846553
8.0,37.0,1685.2825356951
8.0,38.0,1693.2913764275
8.0,39.0,1723.7372370430
8.0,40.0,1750.3058872820
9.0,20.0,1615.3037241228
9.0,21.0,1609.1291459525
9.0,22.0,1593.9933018530
9.0,23.0,1551.1359658544
9.0,24.0,1498.3131363637
9.0,25.0,1453.5923696612
9.0,26.0,1403.1306282940
9.0,27.0,1341.8977430192
9.0,28.0,1337.6286746168
9.0,29.0,1344.2102768250
9.0,30.0,1375.5740919057
9.0,31.0,1455.4299243729
9.0,32.0,1534.3216176173
9.0,33.0,1591.1879104153
9.0,34.0,1638.3354586272
9.0,35.0,1667.7726628673
9.0,36.0,1672.0939051540
9.0,37.0,1653.6701310940
9.0,38.0,1665.5512951761
9.0,39.0,1694.8642564593
9.0,40.0,1727.7971347624
10.0,20.0,1592.3724678060
10.0,21.0,1581.4934411871
10.0,22.0,1571.6703628196
10.0,23.0,1543.6762917495
10.0,24.0,1496.6707086438
10.0,25.0,1446.0003362392
10.0,26.0,1379.4057247382
10.0,27.0,1298.5629217715
10.0,28.0,1260.1753219062
10.0,29.0,1266.7130480171
10.0,30.0,1292.9456267300
10.0,31.0,1382.5919215501
10.0,32.0,1463.2433120727
10.0,33.0,1541.3070778397
10.0,34.0,1589.2915455474
10.0,35.0,1630.5330398442
10.0,36.0,1647.1724017694
10.0,37.0,1638.4076433627
10.0,38.0,1650.6870375515
10.0,39.0,1680.3893100575
10.0,40.0,1703.0665418312
11.0,20.0,1575.1013787794
11.0,21.0,1554.2600207132
11.0,22.0,1546.7815556773
11.0,23.0,1523.5960685845
11.0,24.0,1486.5565879730
11.0,25.0,1442.7872302271
11.0,26.0,1376.2670872440
11.0,27.0,1261.4860277483
11.0,28.0,1175.5430761663
11.0,29.0,1163.4416123665
11.0,30.0,1191.2663155656
11.0,31.0,1296.7674144951
11.0,32.0,1388.2163666894
11.0,33.0,1474.7268677605
11.0,34.0,1539.2813610678
11.0,35.0,1580.5627780512
11.0,36.0,1607.8997750441
11.0,37.0,1618.9619638421
11.0,38.0,1633.2511114377
11.0,39.0,1656.0925074008
11.0,40.0,1678.9813250168
12.0,20.0,1553.4834613505
12.0,21.0,1534.7737943841
12.0,22.0,1525.3772145122
12.0,23.0,1502.3807352824
12.0,24.0,1466.2669537667
12.0,25.0,1427.6030035152
12.0,26.0,1371.7624570608
12.0,27.0,1258.3003489429
12.0,28.0,1101.7461386844
12.0,29.0,1026.8866425666
12.0,30.0,1070.3477850354
12.0,31.0,1199.5203644567
12.0,32.0,1316.4035599471
12.0,33.0,1400.9300723489
12.0,34.0,1486.1586659254
12.0,35.0,1537.5831098318
12.0,36.0,1565.3464955461
12.0,37.0,1581.9419535155
12.0,38.0,1614.6066933685
12.0,39.0,1635.5405874005
12.0,40.0,1650.7757198451
13.0,20.0,1547.3765422733
13.0,21.0,1513.9742877877
13.0,22.0,1501.7962032712
13.0,23.0,1478.9845623837
13.0,24.0,1442.0315850015
13.0,25.0,1403.3315625465
13.0,26.0,1345.5437177536
13.0,27.0,1251.3020795881
13.0,28.0,1061.5921483513
13.0,29.0,871.3899686652
13.0,30.0,884.6499322080
13.0,31.0,1088.9899129211
13.0,32.0,1233.1874921433
13.0,33.0,1340.1007592144
13.0,34.0,1428.2101299634
13.0,35.0,1499.1229744756
13.0,36.0,1528.5581562320
13.0,37.0,1547.1979232797
