angle_deg,objective,grad_analytical,grad_numerical,true_angle_deg
5.0,1624.648248,2917.138830,3112.163881,15.0
6.0,1571.863042,2284.274339,2510.515653,15.0
7.0,1518.052359,3543.072932,3213.076152,15.0
8.0,1454.248408,3498.928803,3590.686984,15.0
9.0,1375.574092,4329.628263,4126.576325,15.0
10.0,1292.945627,4811.855648,4785.674855,15.0
11.0,1191.266316,6083.818795,5960.541397,15.0
12.0,1070.347785,8585.859957,8181.816943,15.0
13.0,884.649932,11635.928506,11587.194597,15.0
14.0,600.361653,17896.202907,18411.645554,15.0
15.0,3.245346,-18.433621,-44.331941,15.0
16.0,599.528083,-17774.829392,-18290.932361,15.0
17.0,877.214383,-11349.655281,-11234.431582,15.0
18.0,1051.237088,-8206.990905,-7819.498855,15.0
19.0,1166.950590,-5931.479797,-5872.709950,15.0
20.0,1263.759989,-4729.624396,-4642.657267,15.0
21.0,1338.882057,-3880.783663,-3713.807438,15.0
22.0,1404.978958,-2820.270385,-3022.503238,15.0
23.0,1456.988843,-2914.044553,-2693.238299,15.0
24.0,1503.369899,-2221.271668,-2389.376664,15.0
25.0,1550.259577,-2765.027674,-2911.693075,15.0
