initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
-35.0,True,False,-35.00000031221116,-5.0000003122111565,0.12337395,1434.9894886109,10
-34.9,True,False,-34.890185169896704,-4.890185169896704,0.12066598,1421.0159097818,40
-34.8,True,False,-34.77455425829929,-4.77455425829929,0.11781462,1408.9134671042,50
-34.7,True,False,-34.65863359330285,-4.658633593302852,0.11495594,1398.7399367765,58
-34.6,True,False,-34.59583987845029,-4.595839878450292,0.11340695,1397.4945732577,60
-34.5,True,False,-34.47867740385088,-4.478677403850881,0.11051735,1386.4795684486,58
-34.4,True,False,-34.36053180268088,-4.360531802680882,0.10760336,1375.1749160226,64
-34.3,True,False,-34.300000195444525,-4.300000195444525,0.10611033,1370.7807372001,10
-34.2,True,False,-34.183513022194724,-4.183513022194724,0.10323712,1359.1778766706,68
-34.1,True,False,-34.067246713400245,-4.067246713400245,0.1003693,1347.9471737204,22
-34.0,True,False,-33.99999991700028,-3.999999917000281,0.09871038,1346.4971849316,10
-33.9,True,False,-33.88699176461923,-3.886991764619232,0.09592272,1333.3206280989,16
-33.8,True,False,-33.7664630079256,-3.7664630079256014,0.09294984,1319.0932903093,20
-33.7,True,False,-33.700000189375956,-3.700000189375956,0.09130976,1320.0170372147,10
-33.6,True,False,-33.584811745124675,-3.584811745124675,0.08846821,1303.1630653022,14
-33.5,True,False,-33.46747868213042,-3.4674786821304195,0.08557425,1286.6828364248,18
-33.4,True,False,-33.349483114285015,-3.3494831142850146,0.08266465,1270.6043186868,22
-33.3,True,False,-33.23295715273388,-3.2329571527338814,0.07979172,1255.9966019929,26
-33.2,True,False,-33.16793621797558,-3.16793621797558,0.07818393,1253.4252398726,18
-33.1,True,False,-33.054927501101666,-3.054927501101666,0.07539702,1237.9971221473,22
-33.0,True,False,-32.99270805163558,-2.9927080516355815,0.07385944,1239.8219102536,12
-32.9,True,False,-32.86989022866041,-2.8698902286604095,0.07083016,1224.188848363,18
-32.8,True,False,-32.757820961211024,-2.7578209612110243,0.06806578,1209.8403553155,22
-32.7,True,False,-32.691883763984194,-2.691883763984194,0.06643658,1211.9149058955,12
-32.6,True,False,-32.58177347254748,-2.581773472547482,0.06371966,1194.729816042,14
-32.5,True,False,-32.461602378677036,-2.4616023786770356,0.06075492,1177.2237903779,18
-32.4,True,False,-32.399999621043044,-2.399999621043044,0.05923381,1175.5074410935,10
-32.3,True,False,-32.2826515357068,-2.2826515357067976,0.05633805,1154.5288543385,14
-32.2,True,False,-32.16240561596127,-2.1624056159612692,0.05337094,1132.2804286203,16
-32.1,True,False,-32.04863487158456,-2.048634871584561,0.05056366,1108.5709921454,18
-32.0,True,False,-31.986339823456095,-1.9863398234560954,0.04902552,1101.1175090398,12
-31.9,True,False,-31.868585394778734,-1.8685853947787336,0.04611982,1074.9570319975,20
-31.8,False,False,nan,nan,nan,nan,-1
-31.7,False,False,nan,nan,nan,nan,-1
-31.6,False,False,nan,nan,nan,nan,-1
-31.5,True,True,-30.00022752266347,-0.00022752266346870442,5.37e-06,2.1192617133,96
-31.4,True,True,-30.000505539359725,-0.0005055393597253044,1.224e-05,2.1127335289,87
-31.3,True,True,-30.00179491413356,-0.0017949141335584784,4.476e-05,2.103461218,85
-31.2,True,True,-30.000832306671672,-0.0008323066716720007,2.041e-05,2.1074372213,69
-31.1,True,True,-30.00070985716732,-0.0007098571673189724,1.731e-05,2.1090671364,61
-31.0,True,True,-30.0016242102078,-0.0016242102078010134,3.988e-05,2.1006179035,53
-30.9,True,True,-30.00072577657691,-0.0007257765769104196,1.772e-05,2.108786877,47
-30.8,True,True,-30.001037903347243,-0.0010379033472425192,2.553e-05,2.1049052893,41
-30.7,True,True,-30.001036128286902,-0.0010361282869020272,2.531e-05,2.1037168263,35
-30.6,True,True,-30.000531193537388,-0.0005311935373875087,1.286e-05,2.1121522077,31
-30.5,True,True,-30.00082306809699,-0.0008230680969916193,2.905e-05,2.1214774124,25
-30.4,True,True,-30.00100428946693,-0.0010042894669304303,3.385e-05,2.1203370382,21
-30.3,True,True,-30.00111415997954,-0.0011141599795401191,2.732e-05,2.103649556,19
-30.2,True,True,-30.000435963564765,-0.00043596356476527376,1.05e-05,2.1141600314,17
-30.1,True,True,-30.000227026468604,-0.00022702646860395248,5.38e-06,2.1194515059,14
-30.0,True,True,-30.00000010841618,-1.0841618092172212e-07,5.7e-07,2.1257907981,8
-29.9,True,True,-30.00119297435127,-0.0011929743512695268,3.15e-05,2.1089081057,15
-29.8,True,True,-30.001182170418364,-0.0011821704183638815,3.156e-05,2.1095488687,17
-29.7,True,True,-30.000277055955678,-0.0002770559556779517,6.6e-06,2.1180975697,21
-29.6,True,True,-30.00143836955184,-0.0014383695518382922,3.9e-05,2.1100453582,23
-29.5,True,True,-30.0014707045616,-0.0014707045616013659,4.001e-05,2.1102829627,27
-29.4,True,True,-30.00023420349736,-0.00023420349736014145,5.55e-06,2.1192386041,32
-29.3,True,True,-30.000152831386927,-0.00015283138692723242,3.65e-06,2.1215718592,36
-29.2,True,True,-30.00025602106449,-0.00025602106449085227,6.08e-06,2.1186396677,42
-29.1,True,True,-30.000261919222584,-0.0002619192225843392,6.22e-06,2.1184664053,48
-29.0,True,True,-30.000027824142006,-2.7824142005528074e-05,4.21e-06,2.1279245079,52
-28.9,True,True,-30.00020442622572,-0.00020442622572147684,4.85e-06,2.1200722931,62
-28.8,False,False,nan,nan,nan,nan,-1
-28.7,True,True,-30.000320194895277,-0.0003201948952771261,7.65e-06,2.1169151527,81
-28.6,True,True,-30.00030967744975,-0.00030967744974930156,7.39e-06,2.1171733337,91
-28.5,True,True,-30.000314296737276,-0.0003142967372760097,7.49e-06,2.1170557108,101
-28.4,True,True,-30.001129296710623,-0.0011292967106228957,3.199e-05,2.1124520583,111
-28.3,False,False,nan,nan,nan,nan,-1
-28.2,True,False,-28.22926853939591,1.7707314606040896,0.04370521,1022.5510439347,22
-28.1,True,False,-28.112953330428965,1.8870466695710348,0.0465756,1047.469860404,12
-28.0,True,False,-28.048708242787043,1.9512917572129567,0.04816161,1054.7842236558,28
