initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
10.0,True,False,-10.000000161613606,-25.000000161613606,0.12337414,1358.6518696444,10
10.1,True,False,-10.111965930750486,-25.111965930750486,0.12061318,1345.238663196,50
10.2,True,False,-10.225841601956692,-25.22584160195669,0.11780533,1333.3342865148,40
10.3,True,False,-10.340136012533865,-25.340136012533865,0.11498705,1323.6979425845,54
10.4,True,False,-10.406371454245791,-25.406371454245793,0.11335261,1325.6786481613,25
10.5,True,False,-10.52259882603781,-25.522598826037807,0.11048612,1314.8657166845,54
10.6,True,False,-10.639401121388428,-25.639401121388428,0.10760544,1303.8786689947,44
10.7,True,False,-10.702321612244253,-25.702321612244255,0.10605325,1304.0232008781,27
10.8,True,False,-10.817928812223407,-25.817928812223407,0.10320177,1294.2685110219,49
10.9,True,False,-10.93353052102819,-25.93353052102819,0.1003503,1286.4907701391,57
11.0,True,False,-11.000000297729189,-26.000000297729187,0.09871057,1286.6831398936,9
11.1,True,False,-11.109633799242479,-26.10963379924248,0.09600611,1277.010423301,13
11.2,True,False,-11.232020488530493,-26.232020488530495,0.09298715,1266.1184846564,22
11.3,True,False,-11.299999745316788,-26.29999974531679,0.09130994,1266.9320768567,10
11.4,True,False,-11.412736316071392,-26.412736316071392,0.0885288,1253.0507072885,14
11.5,True,False,-11.531571901647606,-26.531571901647606,0.08559762,1239.0441705594,20
11.6,True,False,-11.648415713128683,-26.648415713128685,0.08271606,1224.8961939067,24
11.7,True,False,-11.715259416297764,-26.715259416297762,0.08106517,1225.5476005931,14
11.8,True,False,-11.830325360890578,-26.830325360890576,0.07822676,1210.1076262434,18
11.9,True,False,-11.942430925328553,-26.94243092532855,0.07546173,1196.0386408934,26
12.0,True,False,-12.007046744365379,-27.00704674436538,0.07386565,1197.8561099461,12
12.1,True,False,-12.122543477850467,-27.122543477850467,0.07101626,1183.0613641411,18
12.2,True,False,-12.239070693129207,-27.239070693129207,0.06814174,1169.0578437727,22
12.3,True,False,-12.303814317521898,-27.303814317521898,0.06654284,1170.1829191171,12
12.4,True,False,-12.417813022106046,-27.417813022106046,0.06372993,1153.864082678,14
12.5,True,False,-12.537082138237565,-27.537082138237565,0.06078714,1137.3158647361,18
12.6,True,False,-12.599999946142846,-27.599999946142844,0.05923399,1134.7682609995,10
12.7,True,False,-12.716976436158477,-27.716976436158475,0.05634738,1114.8060184332,14
12.8,True,False,-12.83602717972635,-27.83602717972635,0.0534096,1093.9073234729,16
12.9,True,False,-12.949922978521945,-27.949922978521947,0.05059907,1072.1772129913,22
13.0,True,False,-13.012485692381432,-28.012485692381432,0.04905463,1064.9538521042,12
13.1,True,False,-13.132201631973288,-28.132201631973288,0.04610042,1042.0639505508,16
13.2,False,False,nan,nan,nan,nan,-1
13.3,False,False,nan,nan,nan,nan,-1
13.4,False,False,nan,nan,nan,nan,-1
13.5,False,False,nan,nan,nan,nan,-1
13.6,False,False,nan,nan,nan,nan,-1
13.7,False,False,nan,nan,nan,nan,-1
13.8,True,True,-14.999387589234216,-29.999387589234217,1.528e-05,2.1021031255,71
13.9,True,True,-14.999556034920484,-29.999556034920484,1.087e-05,2.1048365835,61
14.0,True,True,-14.998996627996176,-29.998996627996178,3.643e-05,2.1126822755,53
14.1,True,True,-14.998000679510598,-29.998000679510596,5e-05,2.0900766628,59
14.2,True,True,-14.99800012607069,-29.99800012607069,4.991e-05,2.0898122616,47
14.3,True,True,-14.999871519718301,-29.9998715197183,3.55e-06,2.1143743081,34
14.4,True,True,-14.99917939415784,-29.999179394157842,2.042e-05,2.0978487424,31
14.5,True,True,-14.998714913362216,-29.998714913362214,4.327e-05,2.1101792166,25
14.6,True,True,-14.998682951787252,-29.998682951787252,4.371e-05,2.109508723,21
14.7,True,True,-14.998691698198325,-29.998691698198325,3.252e-05,2.0911226563,19
14.8,True,True,-14.99939759079747,-29.99939759079747,1.493e-05,2.101991663,17
14.9,True,True,-14.999607041032622,-29.999607041032622,9.74e-06,2.1069949117,14
15.0,True,True,-15.000000216013214,-30.000000216013213,2.5e-07,2.1181489428,7
15.1,True,True,-14.998619987234026,-29.998619987234026,3.664e-05,2.0961062623,15
15.2,True,True,-14.998628881924812,-29.998628881924812,3.676e-05,2.0967747466,17
15.3,True,True,-14.999552417729006,-29.999552417729006,1.108e-05,2.1056036562,20
15.4,True,True,-14.998411238719092,-29.998411238719093,4.321e-05,2.0973339034,23
15.5,True,True,-14.998433198726815,-29.998433198726815,4.279e-05,2.0975885564,27
15.6,True,True,-14.999627745881128,-29.999627745881128,9.23e-06,2.1075847086,32
15.7,True,True,-14.999510306307627,-29.999510306307627,1.213e-05,2.1045812562,37
15.8,True,True,-14.999551864293114,-29.999551864293114,1.111e-05,2.1056214204,42
15.9,True,True,-14.999562014143624,-29.999562014143624,1.086e-05,2.1058865497,48
16.0,True,True,-14.999519902721957,-29.999519902721957,1.191e-05,2.1048664155,55
16.1,True,True,-14.999545885070031,-29.99954588507003,1.127e-05,2.1054759534,63
16.2,True,True,-14.999553672888858,-29.999553672888858,1.107e-05,2.1056919714,70
16.3,False,False,nan,nan,nan,nan,-1
16.4,False,False,nan,nan,nan,nan,-1
16.5,False,False,nan,nan,nan,nan,-1
16.6,False,False,nan,nan,nan,nan,-1
16.7,False,False,nan,nan,nan,nan,-1
16.8,False,False,nan,nan,nan,nan,-1
16.9,False,False,nan,nan,nan,nan,-1
17.0,False,False,nan,nan,nan,nan,-1
17.1,True,False,-17.007490503931493,-32.00749050393149,0.04955065,1098.4350187888,24
17.2,True,False,-17.186024474659447,-32.18602447465945,0.05395386,1137.735698634,18
17.3,True,False,-17.29999976845826,-32.299999768458264,0.05676649,1160.4676279209,10
17.4,True,False,-17.363540667778416,-32.363540667778416,0.05833519,1163.8555911999,18
17.5,True,False,-17.480572531300826,-32.48057253130082,0.06122277,1182.5948196553,14
17.6,True,False,-17.599022505841145,-32.59902250584115,0.06414548,1200.8915165152,18
17.7,True,False,-17.658564348955778,-32.65856434895578,0.06561653,1200.0245545417,20
17.8,True,False,-17.77641375025606,-32.77641375025606,0.06852347,1214.934805,16
17.9,True,False,-17.89265226204229,-32.89265226204229,0.07139105,1230.717464812,12
18.0,True,False,-17.956774201243245,-32.95677420124325,0.07297584,1228.2394934812,22
18.1,True,False,-18.069111371210113,-33.06911137121011,0.07574608,1242.91972474,18
18.2,True,False,-18.188003731251033,-33.18800373125103,0.07867861,1259.5762524047,14
18.3,True,False,-18.25000662943922,-33.25000662943922,0.08021082,1259.2984028403,22
18.4,True,False,-18.365578983046333,-33.36557898304633,0.08306081,1275.5202843418,18
18.5,True,False,-18.4839269840287,-33.4839269840287,0.08597977,1292.6918986871,14
18.6,True,False,-18.60000003829218,-33.60000003829218,0.08884318,1310.028499881,10
18.7,True,False,-18.66691484637921,-33.666914846379214,0.09049462,1308.3112930661,20
18.8,True,False,-18.785879321624826,-33.785879321624826,0.09342887,1323.8369427306,32
18.9,True,False,-18.900000075912665,-33.900000075912665,0.09624401,1338.0790926035,10
19.0,True,False,-18.96806813286452,-33.968068132864516,0.09792329,1338.7998706127,22
19.1,True,False,-19.085873605105974,-34.085873605105974,0.10082911,1350.8684442802,46
19.2,True,False,-19.200000180946063,-34.20000018094606,0.10364419,1362.3091067745,10
19.3,True,False,-19.26291900587177,-34.262919005871765,0.10519617,1365.8752862385,52
19.4,True,False,-19.38071816952305,-34.38071816952305,0.10810169,1377.0011812999,50
19.5,True,False,-19.498359507211525,-34.498359507211525,0.11100321,1388.8043464488,58
19.6,True,False,-19.55932584378495,-34.55932584378495,0.11250694,1392.0594117482,60
19.7,True,False,-19.67660085648062,-34.67660085648062,0.11539928,1401.798397728,42
19.8,True,False,-19.79189435698821,-34.79189435698821,0.1182425,1412.9062634017,46
19.9,True,False,-19.89999993021828,-34.89999993021828,0.12090843,1426.9904137883,10
20.0,True,False,-19.971820114184382,-34.97182011418438,0.12267966,1425.4216193967,26
