initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
25.0,True,False,-25.029263011130517,-55.02926301113052,0.12265343,1347.7151139166,22
25.1,True,False,-25.0999998335206,-55.0999998335206,0.12090856,1351.5843455697,10
25.2,True,False,-25.21058672423484,-55.210586724234844,0.11818151,1338.199933578,32
25.3,True,False,-25.324455550202547,-55.32445555020254,0.11537359,1327.4147006245,22
25.4,True,False,-25.44078953136528,-55.44078953136528,0.11250455,1318.1954338862,28
25.5,True,False,-25.504397503948635,-55.50439750394864,0.11093535,1318.39547848,54
25.6,True,False,-25.620712478446865,-55.62071247844686,0.10806658,1307.4189686012,18
25.7,True,False,-25.737498678274637,-55.73749867827463,0.1051862,1296.9345623164,25
25.8,True,False,-25.8003016832251,-55.8003016832251,0.10363689,1297.8130310343,43
25.9,True,False,-25.91530031235595,-55.91530031235595,0.1008003,1288.9801886828,41
26.0,True,False,-26.03215564603039,-56.03215564603039,0.09791779,1281.6201305496,59
26.1,True,False,-26.099999900552913,-56.099999900552916,0.09624415,1280.5245431961,9
26.2,True,False,-26.210617134442103,-56.2106171344421,0.09351539,1269.6072710686,13
26.3,True,False,-26.330244637313008,-56.33024463731301,0.09056452,1257.0962286358,20
26.4,True,False,-26.400000047929147,-56.40000004792915,0.08884331,1259.0614350138,10
26.5,True,False,-26.51392879697382,-56.513928796973815,0.08603273,1244.3578986783,14
26.6,True,False,-26.630601876042153,-56.63060187604215,0.0831548,1229.3688687941,18
26.7,True,False,-26.745024972225497,-56.745024972225494,0.08033274,1214.9789342348,22
26.8,True,False,-26.811045779627058,-56.81104577962706,0.07870216,1215.8812430614,14
26.9,True,False,-26.929110870678894,-56.9291108706789,0.07578979,1200.696553282,18
27.0,True,False,-27.041991147252723,-57.04199114725272,0.07300573,1186.963461941,22
27.1,True,False,-27.107317104092857,-57.10731710409286,0.07139192,1189.0369961964,12
27.2,True,False,-27.22359300581793,-57.22359300581793,0.06852321,1173.8946866245,16
27.3,True,False,-27.34098173134614,-57.34098173134614,0.06562718,1159.4426020968,20
27.4,True,False,-27.399999628413717,-57.39999962841372,0.06416974,1159.1968202026,10
27.5,True,False,-27.518804191812,-57.518804191811995,0.06123819,1142.164122976,14
27.6,True,False,-27.635488052657962,-57.63548805265796,0.05835906,1124.1893217064,18
27.7,True,False,-27.700000103812418,-57.700000103812414,0.05676663,1120.2742591362,10
27.8,True,False,-27.813242095503792,-57.813242095503796,0.05397209,1098.7537450591,14
27.9,True,False,-27.936764835604684,-57.936764835604684,0.05092394,1077.3489948009,16
28.0,True,False,-28.048708242787043,-58.04870824278704,0.04816161,1054.7842236558,28
28.1,True,False,-28.112953330428965,-58.112953330428965,0.0465756,1047.469860404,12
28.2,True,False,-28.22926853939591,-58.22926853939591,0.04370521,1022.5510439347,22
28.3,False,False,nan,nan,nan,nan,-1
28.4,False,False,nan,nan,nan,nan,-1
28.5,False,False,nan,nan,nan,nan,-1
28.6,False,False,nan,nan,nan,nan,-1
28.7,False,False,nan,nan,nan,nan,-1
28.8,False,False,nan,nan,nan,nan,-1
28.9,True,True,-30.00020442622572,-60.00020442622572,4.85e-06,2.1200722931,62
29.0,True,True,-30.000027824142006,-60.00002782414201,4.21e-06,2.1279245079,52
29.1,True,True,-30.000261919222584,-60.00026191922258,6.22e-06,2.1184664053,48
29.2,True,True,-30.00025602106449,-60.00025602106449,6.08e-06,2.1186396677,42
29.3,True,True,-30.000152831386927,-60.00015283138693,3.65e-06,2.1215718592,36
29.4,True,True,-30.00023420349736,-60.00023420349736,5.55e-06,2.1192386041,32
29.5,True,True,-30.0014707045616,-60.0014707045616,4.001e-05,2.1102829627,27
29.6,True,True,-30.00143836955184,-60.001438369551835,3.9e-05,2.1100453582,23
29.7,True,True,-30.000277055955678,-60.00027705595568,6.6e-06,2.1180975697,21
29.8,True,True,-30.001182170418364,-60.00118217041836,3.156e-05,2.1095488687,17
29.9,True,True,-30.00119297435127,-60.00119297435127,3.15e-05,2.1089081057,15
30.0,True,True,-30.00000010841618,-60.00000010841618,5.7e-07,2.1257907981,8
