画像読み込み成功: images/base/base2.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_base2_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 50 / 40401  (ω1=5.0°, ω2=24.9°, E=1574.0660)
  進捗: 100 / 40401  (ω1=5.0°, ω2=29.9°, E=1633.0261)
  進捗: 150 / 40401  (ω1=5.0°, ω2=34.9°, E=1969.2329)
  進捗: 200 / 40401  (ω1=5.0°, ω2=39.9°, E=2269.1955)
  進捗: 250 / 40401  (ω1=5.1°, ω2=24.8°, E=1569.0657)
  進捗: 300 / 40401  (ω1=5.1°, ω2=29.8°, E=1620.3421)
  進捗: 350 / 40401  (ω1=5.1°, ω2=34.8°, E=1958.7354)
  進捗: 400 / 40401  (ω1=5.1°, ω2=39.8°, E=2259.2874)
  進捗: 450 / 40401  (ω1=5.2°, ω2=24.7°, E=1564.6187)
  進捗: 500 / 40401  (ω1=5.2°, ω2=29.7°, E=1606.9465)
  進捗: 550 / 40401  (ω1=5.2°, ω2=34.7°, E=1949.5357)
  進捗: 600 / 40401  (ω1=5.2°, ω2=39.7°, E=2249.5425)
  進捗: 650 / 40401  (ω1=5.3°, ω2=24.6°, E=1559.8469)
  進捗: 700 / 40401  (ω1=5.3°, ω2=29.6°, E=1594.5919)
  進捗: 750 / 40401  (ω1=5.3°, ω2=34.6°, E=1940.8642)
  進捗: 800 / 40401  (ω1=5.3°, ω2=39.6°, E=2239.5331)
  進捗: 850 / 40401  (ω1=5.4°, ω2=24.5°, E=1556.5759)
  進捗: 900 / 40401  (ω1=5.4°, ω2=29.5°, E=1584.4732)
  進捗: 950 / 40401  (ω1=5.4°, ω2=34.5°, E=1930.9349)
  進捗: 1000 / 40401  (ω1=5.4°, ω2=39.5°, E=2228.6612)
  進捗: 1050 / 40401  (ω1=5.5°, ω2=24.4°, E=1555.3550)
  進捗: 1100 / 40401  (ω1=5.5°, ω2=29.4°, E=1575.3573)
  進捗: 1150 / 40401  (ω1=5.5°, ω2=34.4°, E=1919.7110)
  進捗: 1200 / 40401  (ω1=5.5°, ω2=39.4°, E=2217.3027)
  進捗: 1250 / 40401  (ω1=5.6°, ω2=24.3°, E=1554.9255)
  進捗: 1300 / 40401  (ω1=5.6°, ω2=29.3°, E=1567.5635)
  進捗: 1350 / 40401  (ω1=5.6°, ω2=34.3°, E=1906.7501)
  進捗: 1400 / 40401  (ω1=5.6°, ω2=39.3°, E=2206.4002)
  進捗: 1450 / 40401  (ω1=5.7°, ω2=24.2°, E=1555.6824)
  進捗: 1500 / 40401  (ω1=5.7°, ω2=29.2°, E=1561.5281)
  進捗: 1550 / 40401  (ω1=5.7°, ω2=34.2°, E=1893.3175)
  進捗: 1600 / 40401  (ω1=5.7°, ω2=39.2°, E=2195.6478)
  進捗: 1650 / 40401  (ω1=5.8°, ω2=24.1°, E=1556.1335)
  進捗: 1700 / 40401  (ω1=5.8°, ω2=29.1°, E=1554.7154)
  進捗: 1750 / 40401  (ω1=5.8°, ω2=34.1°, E=1880.3806)
  進捗: 1800 / 40401  (ω1=5.8°, ω2=39.1°, E=2184.3993)
  進捗: 1850 / 40401  (ω1=5.9°, ω2=24.0°, E=1556.1596)
  進捗: 1900 / 40401  (ω1=5.9°, ω2=29.0°, E=1545.7666)
  進捗: 1950 / 40401  (ω1=5.9°, ω2=34.0°, E=1866.6672)
  進捗: 2000 / 40401  (ω1=5.9°, ω2=39.0°, E=2172.1542)
  進捗: 2050 / 40401  (ω1=6.0°, ω2=23.9°, E=1556.0538)
  進捗: 2100 / 40401  (ω1=6.0°, ω2=28.9°, E=1538.0867)
  進捗: 2150 / 40401  (ω1=6.0°, ω2=33.9°, E=1852.3804)
  進捗: 2200 / 40401  (ω1=6.0°, ω2=38.9°, E=2160.1573)
  進捗: 2250 / 40401  (ω1=6.1°, ω2=23.8°, E=1556.2959)
  進捗: 2300 / 40401  (ω1=6.1°, ω2=28.8°, E=1532.6460)
  進捗: 2350 / 40401  (ω1=6.1°, ω2=33.8°, E=1838.2029)
  進捗: 2400 / 40401  (ω1=6.1°, ω2=38.8°, E=2148.2453)
  進捗: 2450 / 40401  (ω1=6.2°, ω2=23.7°, E=1556.3108)
  進捗: 2500 / 40401  (ω1=6.2°, ω2=28.7°, E=1527.5660)
  進捗: 2550 / 40401  (ω1=6.2°, ω2=33.7°, E=1824.6195)
  進捗: 2600 / 40401  (ω1=6.2°, ω2=38.7°, E=2136.2414)
  進捗: 2650 / 40401  (ω1=6.3°, ω2=23.6°, E=1555.8249)
  進捗: 2700 / 40401  (ω1=6.3°, ω2=28.6°, E=1522.0510)
  進捗: 2750 / 40401  (ω1=6.3°, ω2=33.6°, E=1811.2421)
  進捗: 2800 / 40401  (ω1=6.3°, ω2=38.6°, E=2125.3135)
  進捗: 2850 / 40401  (ω1=6.4°, ω2=23.5°, E=1555.4980)
  進捗: 2900 / 40401  (ω1=6.4°, ω2=28.5°, E=1514.8934)
  進捗: 2950 / 40401  (ω1=6.4°, ω2=33.5°, E=1798.9030)
  進捗: 3000 / 40401  (ω1=6.4°, ω2=38.5°, E=2115.2403)
  進捗: 3050 / 40401  (ω1=6.5°, ω2=23.4°, E=1556.1201)
  進捗: 3100 / 40401  (ω1=6.5°, ω2=28.4°, E=1508.1789)
  進捗: 3150 / 40401  (ω1=6.5°, ω2=33.4°, E=1787.6885)
  進捗: 3200 / 40401  (ω1=6.5°, ω2=38.4°, E=2105.3565)
  進捗: 3250 / 40401  (ω1=6.6°, ω2=23.3°, E=1558.4101)
  進捗: 3300 / 40401  (ω1=6.6°, ω2=28.3°, E=1503.3168)
  進捗: 3350 / 40401  (ω1=6.6°, ω2=33.3°, E=1776.5979)
  進捗: 3400 / 40401  (ω1=6.6°, ω2=38.3°, E=2096.3273)
  進捗: 3450 / 40401  (ω1=6.7°, ω2=23.2°, E=1561.5474)
  進捗: 3500 / 40401  (ω1=6.7°, ω2=28.2°, E=1498.9116)
  進捗: 3550 / 40401  (ω1=6.7°, ω2=33.2°, E=1764.8388)
  進捗: 3600 / 40401  (ω1=6.7°, ω2=38.2°, E=2087.6163)
  進捗: 3650 / 40401  (ω1=6.8°, ω2=23.1°, E=1564.3788)
  進捗: 3700 / 40401  (ω1=6.8°, ω2=28.1°, E=1494.2867)
  進捗: 3750 / 40401  (ω1=6.8°, ω2=33.1°, E=1752.1213)
  進捗: 3800 / 40401  (ω1=6.8°, ω2=38.1°, E=2079.2831)
  進捗: 3850 / 40401  (ω1=6.9°, ω2=23.0°, E=1567.8330)
  進捗: 3900 / 40401  (ω1=6.9°, ω2=28.0°, E=1490.6595)
  進捗: 3950 / 40401  (ω1=6.9°, ω2=33.0°, E=1738.9045)
  進捗: 4000 / 40401  (ω1=6.9°, ω2=38.0°, E=2070.9517)
