initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
10.0,False,False,nan,nan,nan,nan,-1
10.1,False,False,nan,nan,nan,nan,-1
10.2,False,False,nan,nan,nan,nan,-1
10.3,False,False,nan,nan,nan,nan,-1
10.4,False,False,nan,nan,nan,nan,-1
10.5,False,False,nan,nan,nan,nan,-1
10.6,False,False,nan,nan,nan,nan,-1
10.7,False,False,nan,nan,nan,nan,-1
10.8,False,False,nan,nan,nan,nan,-1
10.9,False,False,nan,nan,nan,nan,-1
11.0,False,False,nan,nan,nan,nan,-1
11.1,False,False,nan,nan,nan,nan,-1
11.2,False,False,nan,nan,nan,nan,-1
11.3,False,False,nan,nan,nan,nan,-1
11.4,False,False,nan,nan,nan,nan,-1
11.5,False,False,nan,nan,nan,nan,-1
11.6,False,False,nan,nan,nan,nan,-1
11.7,False,False,nan,nan,nan,nan,-1
11.8,False,False,nan,nan,nan,nan,-1
11.9,False,False,nan,nan,nan,nan,-1
12.0,False,False,nan,nan,nan,nan,-1
12.1,False,False,nan,nan,nan,nan,-1
12.2,False,False,nan,nan,nan,nan,-1
12.3,False,False,nan,nan,nan,nan,-1
12.4,False,False,nan,nan,nan,nan,-1
12.5,False,False,nan,nan,nan,nan,-1
12.6,False,False,nan,nan,nan,nan,-1
12.7,False,False,nan,nan,nan,nan,-1
12.8,False,False,nan,nan,nan,nan,-1
12.9,False,False,nan,nan,nan,nan,-1
13.0,False,False,nan,nan,nan,nan,-1
13.1,False,False,nan,nan,nan,nan,-1
13.2,False,False,nan,nan,nan,nan,-1
13.3,False,False,nan,nan,nan,nan,-1
13.4,False,False,nan,nan,nan,nan,-1
13.5,False,False,nan,nan,nan,nan,-1
13.6,False,False,nan,nan,nan,nan,-1
13.7,False,False,nan,nan,nan,nan,-1
13.8,False,False,nan,nan,nan,nan,-1
13.9,False,False,nan,nan,nan,nan,-1
14.0,False,False,nan,nan,nan,nan,-1
14.1,True,True,-29.689594230717233,-44.68959423071723,2.01e-06,3.2453236967,38
14.2,True,True,-29.689594230717233,-44.68959423071723,1.98e-06,3.2453239297,34
14.3,True,True,-29.689592449753857,-44.68959244975386,2.28e-06,3.2453228837,31
14.4,True,True,-29.689594230717233,-44.68959423071723,1.98e-06,3.2453239172,26
14.5,True,True,-29.689594230717233,-44.68959423071723,2.04e-06,3.2453234685,22
14.6,True,True,-29.689593233020357,-44.68959323302036,2.28e-06,3.2453227729,21
14.7,True,True,-29.6895945151353,-44.6895945151353,2.26e-06,3.2453226285,17
14.8,True,True,-29.6895945151353,-44.6895945151353,2.24e-06,3.2453226091,15
14.9,True,True,-29.68959579725025,-44.68959579725025,2.33e-06,3.245322473,13
15.0,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241334,3
15.1,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241334,6
15.2,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241359,6
15.3,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.245324136,7
15.4,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241334,9
15.5,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241341,10
15.6,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241335,12
15.7,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241334,14
15.8,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241335,16
15.9,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241339,18
16.0,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241353,20
16.1,True,True,-29.689594729565666,-44.68959472956567,1.95e-06,3.2453241335,23
