initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
25.0,False,False,nan,nan,nan,nan,-1
25.1,False,False,nan,nan,nan,nan,-1
25.2,False,False,nan,nan,nan,nan,-1
25.3,False,False,nan,nan,nan,nan,-1
25.4,False,False,nan,nan,nan,nan,-1
25.5,False,False,nan,nan,nan,nan,-1
25.6,False,False,nan,nan,nan,nan,-1
25.7,False,False,nan,nan,nan,nan,-1
25.8,False,False,nan,nan,nan,nan,-1
25.9,False,False,nan,nan,nan,nan,-1
26.0,False,False,nan,nan,nan,nan,-1
26.1,False,False,nan,nan,nan,nan,-1
26.2,False,False,nan,nan,nan,nan,-1
26.3,False,False,nan,nan,nan,nan,-1
26.4,False,False,nan,nan,nan,nan,-1
26.5,False,False,nan,nan,nan,nan,-1
26.6,False,False,nan,nan,nan,nan,-1
26.7,False,False,nan,nan,nan,nan,-1
26.8,False,False,nan,nan,nan,nan,-1
26.9,False,False,nan,nan,nan,nan,-1
27.0,False,False,nan,nan,nan,nan,-1
27.1,False,False,nan,nan,nan,nan,-1
27.2,False,False,nan,nan,nan,nan,-1
27.3,False,False,nan,nan,nan,nan,-1
27.4,False,False,nan,nan,nan,nan,-1
27.5,False,False,nan,nan,nan,nan,-1
27.6,False,False,nan,nan,nan,nan,-1
27.7,False,False,nan,nan,nan,nan,-1
27.8,False,False,nan,nan,nan,nan,-1
27.9,False,False,nan,nan,nan,nan,-1
28.0,False,False,nan,nan,nan,nan,-1
28.1,False,False,nan,nan,nan,nan,-1
28.2,False,False,nan,nan,nan,nan,-1
28.3,False,False,nan,nan,nan,nan,-1
28.4,False,False,nan,nan,nan,nan,-1
28.5,True,False,29.999985,-1.5000000001208491e-05,0.36813965,3.2453260352,108
28.6,True,False,29.999982,-1.8000000000739647e-05,0.36813957,3.2453257592,97
28.7,True,False,29.999982,-1.8000000000739647e-05,0.36813955,3.2453256876,87
28.8,False,False,nan,nan,nan,nan,-1
28.9,True,False,29.999981,-1.9000000001767603e-05,0.36813955,3.2453256912,69
29.0,True,False,29.999982,-1.8000000000739647e-05,0.36813956,3.2453257661,61
29.1,True,False,29.999984,-1.5999999998683734e-05,0.36813962,3.2453259474,54
29.2,True,False,29.999986,-1.4000000000180535e-05,0.36813966,3.2453261747,48
29.3,True,False,29.999984,-1.5999999998683734e-05,0.36813961,3.2453259385,42
29.4,True,False,29.999982,-1.8000000000739647e-05,0.36813955,3.2453258629,37
29.5,True,False,29.999984,-1.5999999998683734e-05,0.36813962,3.2453260511,32
29.6,True,False,29.999985,-1.5000000001208491e-05,0.36813964,3.2453261925,28
29.7,True,False,29.999983,-1.699999999971169e-05,0.36813958,3.2453260279,26
29.8,True,False,29.999986,-1.4000000000180535e-05,0.36813966,3.2453263442,22
29.9,True,False,29.999986,-1.4000000000180535e-05,0.36813967,3.2453264087,20
30.0,True,False,29.999984,-1.5999999998683734e-05,0.36813962,3.245324158,9
30.1,True,False,29.999986,-1.4000000000180535e-05,0.36813965,3.2453263231,20
30.2,True,False,29.999985,-1.5000000001208491e-05,0.36813963,3.2453262209,22
30.3,True,False,29.999986,-1.4000000000180535e-05,0.36813967,3.2453263014,26
30.4,True,False,29.999981,-1.9000000001767603e-05,0.36813955,3.24532592,33
30.5,True,False,29.999983,-1.699999999971169e-05,0.36813958,3.2453258733,32
30.6,True,False,29.999986,-1.4000000000180535e-05,0.36813966,3.2453262352,38
30.7,True,False,29.99998,-1.9999999999242846e-05,0.36813952,3.2453256752,47
30.8,True,False,29.999987,-1.2999999999152578e-05,0.36813969,3.2453263917,46
30.9,True,False,29.999986,-1.4000000000180535e-05,0.36813965,3.2453261115,52
31.0,True,False,29.999987,-1.2999999999152578e-05,0.36813969,3.2453263838,61
31.1,True,False,29.999982,-1.8000000000739647e-05,0.36813956,3.2453255866,67
