initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
25.0,True,False,25.011308357796437,-4.9886916422035625,1.30627009,2189.0190355028,22
25.1,True,False,25.110338956160362,-4.889661043839638,1.30843768,2190.8348955727,24
25.2,True,False,25.20784667670426,-4.792153323295739,1.31057088,2187.6458283287,40
25.3,True,False,25.30780317042111,-4.69219682957889,1.31275674,2186.3349784423,28
25.4,True,False,25.410321994717744,-4.589678005282256,1.31499765,2187.9606022431,26
25.5,True,False,25.511445070478878,-4.488554929521122,1.31720691,2186.2831276245,48
25.6,True,False,25.61261606272117,-4.38738393727883,1.31941626,2182.2823977091,22
25.7,True,False,25.710347076168194,-4.289652923831806,1.32154952,2183.2149950631,24
25.8,True,False,25.80634208407578,-4.19365791592422,1.32364389,2182.7043472697,46
25.9,True,False,25.905971930411567,-4.094028069588433,1.32581661,2180.2948174711,34
26.0,True,False,26.006720843962224,-3.993279156037776,1.32801277,2182.1182015983,24
26.1,True,False,26.104594798660987,-3.8954052013390132,1.33014522,2182.4507347945,54
26.2,True,False,26.20392540417956,-3.796074595820439,1.33230844,2179.8927025331,22
26.3,True,False,26.304120234037054,-3.695879765962946,1.33448945,2181.7062866946,22
26.4,True,False,26.40502531826208,-3.59497468173792,1.3366849,2183.2269923565,50
26.5,True,False,26.50608800907547,-3.4939119909245306,1.33888273,2180.0195052761,22
26.6,True,False,26.604232774133944,-3.395767225866056,1.3410161,2180.5927712061,22
26.7,True,False,26.69984348883622,-3.300156511163781,1.34309348,2183.1541225883,30
26.8,True,False,26.798423331034375,-3.2015766689656253,1.34523437,2181.2228034799,22
26.9,True,False,26.899654136679956,-3.100345863320044,1.34743176,2183.3498654117,22
27.0,True,False,27.00076327568796,-2.9992367243120412,1.34962554,2186.5832520421,24
27.1,True,False,27.099578560827837,-2.900421439172163,1.35176847,2184.2069578138,22
27.2,True,False,27.197029852331468,-2.802970147668532,1.35388079,2185.7645655967,20
27.3,True,False,27.29439182057853,-2.7056081794214712,1.35599034,2190.0723881594,24
27.4,True,False,27.395353994053355,-2.6046460059466447,1.35817676,2189.0448618692,22
27.5,True,False,27.49807466357515,-2.5019253364248506,1.36040015,2190.4405232141,22
27.6,True,False,27.60081635237676,-2.3991836476232393,1.36262299,2193.9672300471,22
27.7,True,False,27.702177911628,-2.2978220883720013,1.36481485,2194.157480186,22
27.8,True,False,27.803955904544726,-2.1960440954552745,1.36701463,2192.1621306351,22
27.9,True,False,27.90769960925988,-2.092300390740121,1.36925583,2192.9844906496,22
28.0,True,False,28.009071911232912,-1.9909280887670882,1.37144471,2194.7733636937,24
28.1,True,False,28.107843864137326,-1.892156135862674,1.37357634,2191.1796129749,30
28.2,True,False,28.209505592822648,-1.790494407177352,1.37576936,2190.1206160713,22
28.3,True,False,28.31082566514711,-1.6891743348528898,1.37795392,2191.8625498328,24
28.4,True,False,28.409528671201056,-1.5904713287989445,1.38008093,2189.6321998069,26
28.5,True,False,28.51029266938229,-1.4897073306177084,1.38225137,2186.9220879245,22
28.6,True,False,28.60935691326359,-1.3906430867364108,1.38438419,2188.5381948943,24
28.7,True,False,28.706522291225685,-1.293477708774315,1.38647504,2187.3021957194,36
28.8,True,False,28.8062428227081,-1.1937571772919,1.38861987,2185.0938016442,22
28.9,True,False,28.907784051974975,-1.092215948025025,1.39080281,2186.8835777962,24
29.0,True,False,29.008690856859232,-0.9913091431407679,1.39297099,2187.1991082487,54
29.1,True,False,29.110583256405267,-0.8894167435947331,1.39515927,2183.3316809872,22
29.2,True,False,29.211269215832644,-0.7887307841673561,1.39732055,2182.6985664555,22
29.3,True,False,29.31142248362456,-0.6885775163754388,1.39946939,2184.4748108487,24
29.4,True,False,29.40851643828136,-0.5914835617186398,1.40155145,2180.3477488333,22
29.5,True,False,29.509620074774233,-0.490379925225767,1.40371851,2179.7147727862,22
29.6,True,False,29.61021634858159,-0.38978365141840854,1.40587361,2181.6596685818,24
