initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
25.0,True,False,-25.03613866992464,-55.03613866992464,0.12248706,919.0481310204,24
25.1,True,False,-25.140446265302092,-55.14044626530209,0.11991697,913.5559724735,26
25.2,False,False,nan,nan,nan,nan,-1
25.3,True,False,-25.3331931301102,-55.3331931301102,0.11516175,904.7068574773,26
25.4,True,False,-25.440781519017786,-55.44078151901779,0.11251008,897.9153173549,30
25.5,True,False,-25.551260804864643,-55.55126080486464,0.10978779,891.7600288113,24
25.6,False,False,nan,nan,nan,nan,-1
25.7,True,False,-25.74804873567419,-55.74804873567419,0.10493084,877.4028296165,22
25.8,True,False,-25.85977196064231,-55.859771960642306,0.10217686,867.1219384148,48
25.9,False,False,nan,nan,nan,nan,-1
26.0,False,False,nan,nan,nan,nan,-1
26.1,True,False,-26.160991236680477,-56.16099123668047,0.09474623,839.0463438683,22
26.2,True,False,-26.273313992426072,-56.27331399242607,0.09197748,828.2497527047,28
26.3,False,False,nan,nan,nan,nan,-1
26.4,True,False,-26.457947879848017,-56.45794787984802,0.08741933,811.0412268205,22
26.5,True,False,-26.569132738235783,-56.56913273823578,0.08468016,801.0421962582,26
26.6,False,False,nan,nan,nan,nan,-1
26.7,True,False,-26.7566117422576,-56.756611742257604,0.08005265,785.1403826383,22
26.8,True,False,-26.86707196782287,-56.867071967822866,0.07733123,775.0641419236,24
26.9,False,False,nan,nan,nan,nan,-1
27.0,True,False,-27.04743026762477,-57.04743026762477,0.07287721,758.8208447096,22
27.1,True,False,-27.153542769510583,-57.15354276951058,0.07026347,750.3076719689,30
27.2,False,False,nan,nan,nan,nan,-1
27.3,True,False,-27.341425499928093,-57.34142549992809,0.06562385,736.2017466098,24
27.4,True,False,-27.451825937113437,-57.45182593711344,0.06290427,728.7235454117,24
27.5,True,False,-27.64049003467979,-57.640490034679786,0.05830279,710.9880060853,70
27.6,True,False,-27.765385901202805,-57.765385901202805,0.05522169,699.3719854922,48
27.7,True,False,-27.763395966768584,-57.763395966768584,0.05521109,702.0069314905,22
27.8,True,False,-27.878440018635406,-57.8784400186354,0.05237594,689.3902358284,24
27.9,True,False,-27.99288321976922,-57.99288321976922,0.04955697,677.0304960805,42
28.0,False,False,nan,nan,nan,nan,-1
28.1,True,False,-28.174698710408766,-58.17469871040876,0.04506366,655.0716848292,28
28.2,True,False,-28.293985505872566,-58.29398550587257,0.04212619,640.0319899185,24
28.3,False,False,nan,nan,nan,nan,-1
28.4,False,False,nan,nan,nan,nan,-1
28.5,False,False,nan,nan,nan,nan,-1
28.6,False,False,nan,nan,nan,nan,-1
28.7,False,False,nan,nan,nan,nan,-1
28.8,False,False,nan,nan,nan,nan,-1
28.9,False,False,nan,nan,nan,nan,-1
29.0,True,True,-30.000275777085147,-60.00027577708515,6.66e-06,1.6730842548,70
29.1,True,True,-30.000199024262532,-60.00019902426253,4.82e-06,1.6744049857,60
29.2,True,True,-30.000268103861874,-60.00026810386187,6.48e-06,1.6732006875,50
29.3,True,True,-30.000276559761062,-60.00027655976106,6.68e-06,1.6730504607,42
29.4,True,True,-30.000569713190696,-60.0005697131907,2.104e-05,1.6796305703,39
29.5,True,True,-30.000273219344066,-60.000273219344066,6.6e-06,1.6730955387,28
29.6,True,True,-30.000179268241666,-60.000179268241666,4.35e-06,1.6747625396,24
29.7,True,True,-30.000227026468604,-60.00022702646861,5.49e-06,1.673891352,20
29.8,True,True,-30.00101431072007,-60.001014310720066,2.509e-05,1.6660175337,17
29.9,True,True,-30.0010458630522,-60.0010458630522,2.592e-05,1.6660791142,15
30.0,True,True,-30.00000010841618,-60.00000010841618,5.7e-07,1.6775539891,8
30.1,True,True,-30.000197249196873,-60.00019724919687,4.78e-06,1.6744232116,14
30.2,True,True,-30.000326875729364,-60.000326875729364,7.89e-06,1.6721988288,17
30.3,True,True,-30.00095063308037,-60.00095063308037,2.323e-05,1.6649783026,19
30.4,True,True,-30.00035459145443,-60.000354591454425,8.58e-06,1.6717890742,23
30.5,True,True,-30.00067801834826,-60.00067801834826,1.653e-05,1.6674129618,27
30.6,True,True,-30.00052145876912,-60.00052145876912,1.55e-05,1.6734553388,33
30.7,True,True,-30.001398571025664,-60.00139857102566,3.426e-05,1.6627560528,47
30.8,False,False,nan,nan,nan,nan,-1
30.9,True,True,-30.000563528549318,-60.00056352854932,1.372e-05,1.6689371471,59
31.0,True,True,-30.001231990197578,-60.00123199019758,3.016e-05,1.6633772732,73
31.1,False,False,nan,nan,nan,nan,-1
31.2,False,False,nan,nan,nan,nan,-1
31.3,False,False,nan,nan,nan,nan,-1
31.4,False,False,nan,nan,nan,nan,-1
31.5,False,False,nan,nan,nan,nan,-1
31.6,False,False,nan,nan,nan,nan,-1
31.7,False,False,nan,nan,nan,nan,-1
31.8,True,False,-31.68741460367373,-61.68741460367373,0.04167077,639.2527052136,50
31.9,True,False,-31.80465791251847,-61.804657912518465,0.04455789,654.1163624608,26
32.0,True,False,-31.922241010356444,-61.922241010356444,0.04745413,668.5204038301,24
32.1,False,False,nan,nan,nan,nan,-1
32.2,True,False,-32.103636037494105,-62.103636037494105,0.05193621,689.7129860803,28
32.3,True,False,-32.22267983483041,-62.22267983483041,0.05486895,701.8873938333,44
32.4,True,False,-32.34068302564962,-62.34068302564962,0.05777838,713.5543549449,26
32.5,True,False,-32.45588409385974,-62.45588409385974,0.06061932,724.2059793211,22
32.6,False,False,nan,nan,nan,nan,-1
32.7,True,False,-32.64846136618857,-62.64846136618857,0.06537699,737.710349422,24
32.8,True,False,-32.75641949476619,-62.75641949476619,0.06803696,745.2840228136,36
32.9,False,False,nan,nan,nan,nan,-1
33.0,True,False,-32.939127980287445,-62.939127980287445,0.07254813,759.836121564,24
33.1,True,False,-33.047585323151765,-63.047585323151765,0.07521992,769.6318874595,22
33.2,True,False,-33.05120140119548,-63.05120140119548,0.07535211,766.4920477466,42
33.3,True,False,-33.23343399715803,-63.23343399715803,0.07980761,785.7709416645,44
33.4,True,False,-33.34567282717333,-63.34567282717333,0.08257357,795.9889050149,22
33.5,True,False,-33.41585063735932,-63.41585063735932,0.08431106,802.9067989992,28
33.6,True,False,-33.527007425441475,-63.527007425441475,0.08704911,811.6953606566,26
33.7,True,False,-33.64072805157458,-63.64072805157458,0.0898521,822.9471940842,22
33.8,False,False,nan,nan,nan,nan,-1
33.9,True,False,-33.82359190293915,-63.82359190293915,0.09436723,840.3051528921,26
