initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
10.0,False,False,nan,nan,nan,nan,-1
10.1,False,False,nan,nan,nan,nan,-1
10.2,False,False,nan,nan,nan,nan,-1
10.3,False,False,nan,nan,nan,nan,-1
10.4,False,False,nan,nan,nan,nan,-1
10.5,False,False,nan,nan,nan,nan,-1
10.6,False,False,nan,nan,nan,nan,-1
10.7,False,False,nan,nan,nan,nan,-1
10.8,False,False,nan,nan,nan,nan,-1
10.9,False,False,nan,nan,nan,nan,-1
11.0,False,False,nan,nan,nan,nan,-1
11.1,False,False,nan,nan,nan,nan,-1
11.2,False,False,nan,nan,nan,nan,-1
11.3,False,False,nan,nan,nan,nan,-1
11.4,False,False,nan,nan,nan,nan,-1
11.5,False,False,nan,nan,nan,nan,-1
11.6,False,False,nan,nan,nan,nan,-1
11.7,False,False,nan,nan,nan,nan,-1
11.8,False,False,nan,nan,nan,nan,-1
11.9,False,False,nan,nan,nan,nan,-1
12.0,False,False,nan,nan,nan,nan,-1
12.1,False,False,nan,nan,nan,nan,-1
12.2,False,False,nan,nan,nan,nan,-1
12.3,False,False,nan,nan,nan,nan,-1
12.4,False,False,nan,nan,nan,nan,-1
12.5,False,False,nan,nan,nan,nan,-1
12.6,False,False,nan,nan,nan,nan,-1
12.7,False,False,nan,nan,nan,nan,-1
12.8,False,False,nan,nan,nan,nan,-1
12.9,False,False,nan,nan,nan,nan,-1
13.0,False,False,nan,nan,nan,nan,-1
13.1,False,False,nan,nan,nan,nan,-1
13.2,False,False,nan,nan,nan,nan,-1
13.3,False,False,nan,nan,nan,nan,-1
13.4,True,True,14.999987,-1.2999999999152578e-05,1.19e-06,3.2717062666,117
13.5,True,True,14.99997,-3.0000000000640625e-05,1.59e-06,3.2717023699,107
13.6,True,True,14.999986,-1.4000000000180535e-05,1.11e-06,3.2717071013,97
13.7,True,True,14.999984,-1.600000000046009e-05,1.15e-06,3.2717065513,87
13.8,True,True,14.999988,-1.1999999999900979e-05,1.06e-06,3.2717079539,76
13.9,True,True,14.999984,-1.600000000046009e-05,1.16e-06,3.2717063431,69
14.0,True,True,14.999984,-1.600000000046009e-05,1.15e-06,3.2717065538,61
14.1,True,True,14.999989,-1.100000000064938e-05,1.05e-06,3.2717081935,54
14.2,True,True,14.999968,-3.1999999999143824e-05,1.62e-06,3.2717023356,51
14.3,True,True,14.999986,-1.4000000000180535e-05,1.1e-06,3.2717071231,42
14.4,True,True,14.999984,-1.600000000046009e-05,1.14e-06,3.27170648,37
14.5,True,True,14.999989,-1.100000000064938e-05,1.04e-06,3.2717082059,32
14.6,True,True,14.999974,-2.6000000000081513e-05,1.42e-06,3.2717028295,27
14.7,True,True,14.999984,-1.600000000046009e-05,1.13e-06,3.2717065505,25
14.8,True,True,14.999969,-3.0999999999892225e-05,1.45e-06,3.2717028159,23
14.9,True,True,14.99997,-3.0000000000640625e-05,1.37e-06,3.2717033577,17
15.0,True,True,14.999987,-1.2999999999152578e-05,1.26e-06,3.27170688,9
15.1,True,True,14.999985,-1.4999999999432134e-05,1.09e-06,3.2717068058,18
15.2,True,True,14.999984,-1.600000000046009e-05,1.13e-06,3.271706178,21
15.3,True,True,14.99997,-3.0000000000640625e-05,1.45e-06,3.2717035264,25
15.4,True,True,14.999981,-1.8999999999991246e-05,1.21e-06,3.2717052726,27
15.5,True,True,14.999978,-2.19999999995224e-05,1.29e-06,3.2717044485,31
15.6,True,True,14.999972,-2.800000000036107e-05,1.44e-06,3.271703587,41
15.7,True,True,14.99998,-1.9999999999242846e-05,1.27e-06,3.2717047815,41
15.8,True,True,14.999975,-2.5000000000829914e-05,1.73e-06,3.2717021937,43
