sigma,direction,converged_true,converged_local,diverged,width_deg
0.5,omega1,40,0,61,4.1
0.5,omega2,0,35,66,0.0
1.0,omega1,48,0,53,4.700000000000001
1.0,omega2,0,35,66,0.0
1.5,omega1,47,0,54,4.600000000000001
1.5,omega2,0,35,66,0.0
2.0,omega1,48,0,53,4.700000000000001
2.0,omega2,0,35,66,0.0
2.5,omega1,47,0,54,4.600000000000001
2.5,omega2,0,34,67,0.0
3.0,omega1,48,0,53,4.700000000000001
3.0,omega2,0,35,66,0.0
3.5,omega1,47,0,54,4.600000000000001
3.5,omega2,0,35,66,0.0
4.0,omega1,48,0,53,4.700000000000001
4.0,omega2,0,34,67,0.0
