w1_init,w2_init,success,iter,frob_error,final_E
-5.0,0.0,0,-1,999.0,999.0
-5.0,5.0,0,-1,999.0,999.0
-5.0,10.0,0,-1,999.0,999.0
-5.0,15.0,0,-1,999.0,999.0
-5.0,20.0,0,-1,999.0,999.0
-5.0,25.0,0,-1,999.0,999.0
-5.0,30.0,0,-1,999.0,999.0
-5.0,35.0,0,-1,999.0,999.0
-5.0,40.0,0,-1,999.0,999.0
-5.0,45.0,0,-1,999.0,999.0
-5.0,50.0,0,-1,999.0,999.0
-5.0,55.0,0,-1,999.0,999.0
-5.0,60.0,0,-1,999.0,999.0
0.00,0.00,0,26,0.815616,1970.886176
0.00,5.00,0,22,0.711385,1914.032019
0.00,10.00,0,38,0.609474,1838.357923
0.00,15.00,0,24,0.518790,1775.792794
0.00,20.00,0,38,0.438716,1683.362007
0.0,25.0,0,-1,999.0,999.0
0.00,30.00,0,44,0.363763,1745.332523
0.00,35.00,0,28,0.382413,1852.190793
0.00,40.00,0,57,0.436379,1859.538622
0.0,45.0,0,-1,999.0,999.0
0.0,50.0,0,-1,999.0,999.0
0.00,55.00,0,53,0.704186,2045.482521
0.00,60.00,0,44,0.808096,2038.055060
5.0,0.0,0,-1,999.0,999.0
5.0,5.0,0,-1,999.0,999.0
5.0,10.0,0,-1,999.0,999.0
5.0,15.0,0,-1,999.0,999.0
5.0,20.0,0,-1,999.0,999.0
5.0,25.0,0,-1,999.0,999.0
5.0,30.0,0,-1,999.0,999.0
5.0,35.0,0,-1,999.0,999.0
5.0,40.0,0,-1,999.0,999.0
5.0,45.0,0,-1,999.0,999.0
5.0,50.0,0,-1,999.0,999.0
5.0,55.0,0,-1,999.0,999.0
5.0,60.0,0,-1,999.0,999.0
10.0,0.0,0,-1,999.0,999.0
10.0,5.0,0,-1,999.0,999.0
10.0,10.0,0,-1,999.0,999.0
10.0,15.0,0,-1,999.0,999.0
10.0,20.0,0,-1,999.0,999.0
10.0,25.0,0,-1,999.0,999.0
10.0,30.0,0,-1,999.0,999.0
10.0,35.0,0,-1,999.0,999.0
10.0,40.0,0,-1,999.0,999.0
10.0,45.0,0,-1,999.0,999.0
10.0,50.0,0,-1,999.0,999.0
10.0,55.0,0,-1,999.0,999.0
10.0,60.0,0,-1,999.0,999.0
15.0,0.0,0,-1,999.0,999.0
15.0,5.0,0,-1,999.0,999.0
15.0,10.0,0,-1,999.0,999.0
15.0,15.0,0,-1,999.0,999.0
15.0,20.0,0,-1,999.0,999.0
15.0,25.0,0,-1,999.0,999.0
15.00,30.00,1,4,0.000003,0.539565
15.0,35.0,0,-1,999.0,999.0
15.0,40.0,0,-1,999.0,999.0
15.0,45.0,0,-1,999.0,999.0
15.0,50.0,0,-1,999.0,999.0
15.0,55.0,0,-1,999.0,999.0
15.0,60.0,0,-1,999.0,999.0
20.0,0.0,0,-1,999.0,999.0
20.0,5.0,0,-1,999.0,999.0
20.0,10.0,0,-1,999.0,999.0
20.0,15.0,0,-1,999.0,999.0
20.0,20.0,0,-1,999.0,999.0
20.0,25.0,0,-1,999.0,999.0
20.0,30.0,0,-1,999.0,999.0
20.0,35.0,0,-1,999.0,999.0
20.0,40.0,0,-1,999.0,999.0
20.0,45.0,0,-1,999.0,999.0
20.0,50.0,0,-1,999.0,999.0
20.0,55.0,0,-1,999.0,999.0
20.0,60.0,0,-1,999.0,999.0
25.0,0.0,0,-1,999.0,999.0
25.0,5.0,0,-1,999.0,999.0
25.0,10.0,0,-1,999.0,999.0
25.0,15.0,0,-1,999.0,999.0
25.0,20.0,0,-1,999.0,999.0
25.0,25.0,0,-1,999.0,999.0
25.0,30.0,0,-1,999.0,999.0
25.0,35.0,0,-1,999.0,999.0
25.0,40.0,0,-1,999.0,999.0
25.0,45.0,0,-1,999.0,999.0
25.0,50.0,0,-1,999.0,999.0
25.0,55.0,0,-1,999.0,999.0
25.0,60.0,0,-1,999.0,999.0
30.0,0.0,0,-1,999.0,999.0
30.0,5.0,0,-1,999.0,999.0
30.0,10.0,0,-1,999.0,999.0
30.0,15.0,0,-1,999.0,999.0
30.0,20.0,0,-1,999.0,999.0
30.0,25.0,0,-1,999.0,999.0
30.0,30.0,0,-1,999.0,999.0
30.0,35.0,0,-1,999.0,999.0
30.0,40.0,0,-1,999.0,999.0
30.0,45.0,0,-1,999.0,999.0
30.0,50.0,0,-1,999.0,999.0
30.0,55.0,0,-1,999.0,999.0
30.0,60.0,0,-1,999.0,999.0
35.0,0.0,0,-1,999.0,999.0
35.0,5.0,0,-1,999.0,999.0
35.0,10.0,0,-1,999.0,999.0
35.0,15.0,0,-1,999.0,999.0
35.0,20.0,0,-1,999.0,999.0
35.0,25.0,0,-1,999.0,999.0
35.0,30.0,0,-1,999.0,999.0
35.0,35.0,0,-1,999.0,999.0
35.0,40.0,0,-1,999.0,999.0
35.0,45.0,0,-1,999.0,999.0
35.0,50.0,0,-1,999.0,999.0
35.0,55.0,0,-1,999.0,999.0
35.0,60.0,0,-1,999.0,999.0
