w1_init,w2_init,success,iter,frob_error,final_E
-5.00,0.00,0,13,0.875148,2294.617128
-5.00,5.00,0,13,0.779512,2241.092797
-5.00,10.00,0,13,0.690095,2205.484975
-5.00,15.00,0,13,0.610462,2170.221156
-5.00,20.00,0,13,0.545643,2117.408858
-5.00,25.00,0,13,0.501987,2101.864759
-5.00,30.00,0,13,0.485601,2158.076971
-5.00,35.00,0,13,0.499299,2209.833786
-5.00,40.00,0,13,0.540706,2177.409693
-5.00,45.00,0,13,0.603879,2261.992762
-5.00,50.00,0,13,0.682397,2332.674125
-5.00,55.00,0,13,0.771090,2349.283645
-5.00,60.00,0,13,0.866273,2354.164530
0.00,0.00,0,47,0.816493,2130.500211
0.00,5.00,0,29,0.712723,2077.365657
0.00,10.00,0,25,0.610808,2005.085373
0.00,15.00,0,15,0.520938,1940.155035
0.00,20.00,0,17,0.443771,1849.645990
0.00,25.00,0,15,0.388364,1808.906048
0.00,30.00,0,19,0.365885,1909.091154
0.00,35.00,0,15,0.384890,2016.288593
0.00,40.00,0,15,0.439044,2024.087699
0.00,45.00,0,17,0.515451,2052.592955
0.00,50.00,0,29,0.605629,2140.979840
0.00,55.00,0,19,0.706079,2214.970406
0.00,60.00,0,14,0.809006,2207.100572
5.00,0.00,0,13,0.770450,2025.034998
5.00,5.00,0,13,0.658439,1956.716794
5.00,10.00,0,14,0.541999,1861.544756
5.00,15.00,0,13,0.443044,1794.353692
5.00,20.00,0,17,0.355116,1675.391781
5.00,25.00,0,13,0.274119,1551.507687
5.00,30.00,0,13,0.243715,1624.648248
5.00,35.00,0,13,0.271616,1803.866139
5.00,40.00,0,13,0.343753,1823.062019
5.00,45.00,0,13,0.438444,1861.014884
5.00,50.00,0,13,0.543521,1986.740378
5.00,55.00,0,13,0.653397,2068.211572
5.00,60.00,0,13,0.765359,2086.836007
10.00,0.00,0,13,0.741014,1936.458425
10.00,5.00,0,13,0.623501,1900.352367
10.00,10.00,0,21,0.484724,1754.477670
10.00,15.00,0,13,0.388920,1700.898452
10.00,20.00,0,13,0.275523,1592.372468
10.00,25.00,0,15,0.182797,1416.514505
10.00,30.00,0,13,0.121973,1292.945627
10.00,35.00,0,13,0.172196,1630.533040
10.00,40.00,0,13,0.273035,1703.066542
10.00,45.00,0,13,0.386299,1743.770380
10.00,50.00,0,13,0.503113,1873.889588
10.00,55.00,0,13,0.620845,1941.539893
10.00,60.00,0,13,0.738378,2000.190584
15.00,0.00,0,13,0.730000,1945.794972
15.00,5.00,0,13,0.610462,1880.651546
15.00,10.00,0,13,0.489765,1752.834737
15.00,15.00,0,13,0.368140,1644.584291
15.00,20.00,0,13,0.245816,1548.139222
15.00,25.00,0,15,0.108047,1253.973087
15.00,30.00,1,11,0.000000,3.245346
15.00,35.00,0,15,0.059888,993.261523
15.00,40.00,0,15,0.177720,1613.684516
15.00,45.00,0,13,0.368150,1706.669899
15.00,50.00,0,17,0.421803,1742.641707
15.00,55.00,0,13,0.610488,1923.984675
15.00,60.00,0,12,0.730038,1969.597460
20.00,0.00,0,13,0.738318,1992.845104
20.00,5.00,0,13,0.620800,1911.621412
20.00,10.00,0,13,0.503081,1838.511064
20.00,15.00,0,13,0.386278,1688.127752
20.00,20.00,0,13,0.273023,1631.238856
20.00,25.00,0,13,0.172192,1547.048555
20.00,30.00,0,13,0.121975,1263.759989
20.00,35.00,0,36,0.200566,1401.897671
20.00,40.00,0,17,0.277583,1605.961882
20.00,45.00,0,14,0.364826,1736.841347
20.00,50.00,0,15,0.446270,1718.680866
20.00,55.00,0,22,0.514520,1826.348292
20.00,60.00,0,14,0.740974,1943.665044
25.00,0.00,0,13,0.765277,2092.387424
25.00,5.00,0,13,0.653334,2033.671907
25.00,10.00,0,13,0.543476,1913.125999
25.00,15.00,0,13,0.438415,1794.788711
25.00,20.00,0,13,0.343739,1750.105128
25.00,25.00,0,13,0.271616,1719.737559
25.00,30.00,0,13,0.243724,1550.259577
25.00,35.00,0,13,0.274127,1519.142050
25.00,40.00,0,17,0.358449,1703.125680
25.00,45.00,0,12,0.443045,1817.680273
25.00,50.00,0,24,0.546184,1866.285604
25.00,55.00,0,13,0.658440,1931.712957
25.00,60.00,0,13,0.770455,2028.511204
30.00,0.00,0,13,0.808824,2203.459035
30.00,5.00,0,13,0.704776,2146.039579
30.00,10.00,0,13,0.605292,2025.628926
30.00,15.00,0,13,0.514001,1950.335894
30.00,20.00,0,13,0.436973,1930.526591
30.00,25.00,0,13,0.383642,1918.017787
30.00,30.00,0,13,0.365019,1801.531541
30.00,35.00,0,13,0.386299,1741.824078
30.00,40.00,0,13,0.441616,1813.802217
30.00,45.00,0,13,0.519890,1955.612146
30.00,50.00,0,12,0.611913,1997.139698
30.00,55.00,0,12,0.711822,2042.681220
30.00,60.00,0,13,0.816112,2120.871852
35.00,0.00,0,13,0.866161,2328.851357
35.00,5.00,0,13,0.771008,2236.278534
35.00,10.00,0,13,0.682344,2150.292998
35.00,15.00,0,13,0.603853,2097.278035
35.00,20.00,0,13,0.540706,2044.862116
35.00,25.00,0,13,0.499320,2085.556533
35.00,30.00,0,13,0.485634,2040.922241
35.00,35.00,0,13,0.502025,1955.145456
35.00,40.00,0,13,0.545677,2024.003883
35.00,45.00,0,13,0.610488,2122.237589
35.00,50.00,0,13,0.690113,2179.817208
35.00,55.00,0,13,0.779522,2212.057495
35.00,60.00,0,13,0.875152,2259.697514
