frame,r00,r01,r02,r10,r11,r12,r20,r21,r22,elapsed_sec
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.060
1,0.9999982261,-0.0003477071,-0.0018512107,0.0003467474,0.9999998053,-0.0005187234,0.0018513907,0.0005180806,0.999998152,33.728
2,0.9999982261,-0.0003477071,-0.0018512107,0.0003467474,0.9999998053,-0.0005187234,0.0018513907,0.0005180806,0.999998152,24.414
3,0.9999982261,-0.0003477071,-0.0018512107,0.0003467474,0.9999998053,-0.0005187234,0.0018513907,0.0005180806,0.999998152,24.454
4,0.9999966187,-0.0001667227,-0.0025951469,0.0001643202,0.9999995578,-0.0009259531,0.0025953001,0.0009255235,0.9999962039,28.983
5,0.9999963197,-0.0001446343,-0.0027091687,0.0001419981,0.9999995163,-0.0009732567,0.0027093081,0.0009728684,0.9999958566,38.086
6,0.9999866482,0.0001962714,-0.0051638025,-0.0002050958,0.9999985196,-0.0017084379,0.0051634595,0.0017094742,0.9999852081,51.785
7,0.9999866482,0.0001962714,-0.0051638025,-0.0002050958,0.9999985196,-0.0017084379,0.0051634595,0.0017094742,0.9999852081,24.457
8,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,51.782
9,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.456
10,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.433
11,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.429
12,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.421
13,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.889
14,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.453
15,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.441
16,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.725
17,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.473
18,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.515
19,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.433
20,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.962
21,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,25.125
22,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,24.843
23,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,25.008
24,0.9999726912,0.000642456,-0.0073623391,-0.0006568177,0.9999978861,-0.0019484483,0.0073610717,0.0019532308,0.9999709994,25.148
25,0.9999728952,0.0011796932,-0.0072675391,-0.0011975468,0.9999962749,-0.0024527706,0.0072646185,0.0024614074,0.999970583,41.617
26,0.9999728952,0.0011796932,-0.0072675391,-0.0011975468,0.9999962749,-0.0024527706,0.0072646185,0.0024614074,0.999970583,22.469
27,0.9999728952,0.0011796932,-0.0072675391,-0.0011975468,0.9999962749,-0.0024527706,0.0072646185,0.0024614074,0.999970583,24.863
28,0.9999727104,0.001201191,-0.0072894166,-0.0012192955,0.9999961821,-0.0024797496,0.0072864101,0.0024885699,0.9999703572,34.541
29,0.9999720113,0.0012799316,-0.0073714612,-0.0012989879,0.9999958257,-0.0025809523,0.007368127,0.0025904555,0.9999694997,29.355
30,0.9999720113,0.0012799316,-0.0073714612,-0.0012989879,0.9999958257,-0.0025809523,0.007368127,0.0025904555,0.9999694997,24.869
31,0.9999720113,0.0012799316,-0.0073714612,-0.0012989879,0.9999958257,-0.0025809523,0.007368127,0.0025904555,0.9999694997,24.750
32,0.9999720113,0.0012799316,-0.0073714612,-0.0012989879,0.9999958257,-0.0025809523,0.007368127,0.0025904555,0.9999694997,25.420
33,0.9999719569,0.0013025975,-0.0073748728,-0.0013217838,0.9999957535,-0.0025973138,0.0073714582,0.002606989,0.9999694322,30.411
34,0.9999719569,0.0013025975,-0.0073748728,-0.0013217838,0.9999957535,-0.0025973138,0.0073714582,0.002606989,0.9999694322,25.509
35,0.9999719569,0.0013025975,-0.0073748728,-0.0013217838,0.9999957535,-0.0025973138,0.0073714582,0.002606989,0.9999694322,25.034
36,0.9999716541,0.0013504528,-0.0074072447,-0.0013698907,0.9999956303,-0.0026197309,0.0074036745,0.0026298038,0.9999691345,34.219
37,0.9999712954,0.0013967043,-0.0074469821,-0.0014163919,0.9999955146,-0.0026390944,0.0074432627,0.0026495666,0.9999687884,34.280
38,0.9999712896,0.0013974371,-0.0074476271,-0.001417129,0.9999955126,-0.0026394417,0.0074439052,0.0026499202,0.9999687827,39.043
39,0.999970836,0.0014512643,-0.0074980653,-0.0014713027,0.9999953595,-0.0026676525,0.007494159,0.0026786067,0.9999683309,47.925
40,0.9999703703,0.0014996184,-0.0075504811,-0.0015199853,0.9999952203,-0.0026924119,0.0075464074,0.0027038088,0.9999678701,34.553
41,0.9999388297,0.0026382781,-0.0107413459,-0.002670347,0.9999920173,-0.002972304,0.0107334184,0.0030008054,0.9999378926,104.624
42,0.9999388297,0.0026382781,-0.0107413459,-0.002670347,0.9999920173,-0.002972304,0.0107334184,0.0030008054,0.9999378926,24.498
43,0.9999386196,0.0026432281,-0.0107596691,-0.0026753902,0.9999919933,-0.0029758342,0.0107517171,0.003004438,0.9999376851,29.043
44,0.9999386196,0.0026432281,-0.0107596691,-0.0026753902,0.9999919933,-0.0029758342,0.0107517171,0.003004438,0.9999376851,25.422
45,0.9999386196,0.0026432281,-0.0107596691,-0.0026753902,0.9999919933,-0.0029758342,0.0107517171,0.003004438,0.9999376851,24.736
46,0.9999383356,0.002659805,-0.0107819565,-0.0026921304,0.999991922,-0.0029846987,0.0107739306,0.0030135413,0.9999374186,38.150
47,0.9999383356,0.002659805,-0.0107819565,-0.0026921304,0.999991922,-0.0029846987,0.0107739306,0.0030135413,0.9999374186,24.524
48,0.9999381035,0.0026797768,-0.0107985217,-0.0027123192,0.9999918214,-0.0030000793,0.0107903937,0.0030291829,0.9999371938,29.035
