# smooth_method=blur sigma=3.0000 kernel_size=5 gaze_u=3262 gaze_v=1584
frame,iters,E,omega_norm
1,0,0.0,0.0
2,300,1818.08203159,5.38574516e-04
3,300,2114.27126648,2.04034798e-04
4,300,1784.84056635,2.63366064e-04
5,300,1558.44638270,2.79852288e-04
6,300,1456.14531084,1.45556712e-07
7,300,1410.36917375,9.57665659e-05
8,300,1380.80541602,4.21501422e-05
9,181,1367.51620869,4.68339636e-09
10,300,1358.23664733,2.92378792e-06
11,300,1360.63147717,3.14663458e-08
12,300,1357.31203514,5.99707695e-06
13,300,1356.03756669,1.70124842e-08
14,89,1351.90929790,3.62814244e-09
15,300,1336.91558893,3.52328308e-08
16,300,1341.76137142,4.44764435e-06
17,85,1339.15971562,5.67306393e-09
18,65,1337.78648745,6.37743899e-09
19,300,1334.99191443,2.65859963e-08
20,130,1331.88166921,4.91978966e-09
21,278,1331.28464187,3.32697259e-09
22,300,1330.55219471,8.35049806e-07
23,193,1331.31773369,3.18176161e-09
24,300,1326.71634688,1.69918932e-08
25,300,1324.60473108,3.24163387e-08
26,169,1321.89953763,4.19328404e-09
27,153,1320.95978790,5.78948464e-09
28,300,1317.88039460,5.11872209e-05
29,83,1308.80004353,1.77088542e-09
30,71,1304.56380989,4.19248592e-09
31,279,1286.93434106,3.23376216e-09
32,55,1299.22334012,5.25906723e-09
33,300,1291.57365964,5.97039961e-07
34,300,1291.09146262,2.86563773e-07
35,300,1292.39640851,2.74314021e-06
36,300,1292.13511344,4.44413844e-07
37,300,1286.56728915,3.42741481e-08
38,300,1277.82539910,3.70853001e-08
39,300,1278.19590286,2.52458734e-08
40,300,1280.11319759,1.32738959e-08
41,67,1283.90529538,1.98906397e-09
42,41,1287.72199934,2.18249453e-09
43,9,1289.15865984,2.44749411e-09
44,119,1289.28097445,3.56300815e-09
45,300,1286.03628698,3.00636868e-08
46,9,1289.42876208,5.07797072e-09
47,9,1287.05293453,5.94811152e-09
48,9,1297.88524717,9.04954582e-09
49,293,1299.01993003,2.41805546e-09
50,300,1302.58041674,1.08499294e-08
51,115,1306.62697952,4.03324379e-09
52,300,1306.91750210,1.93276691e-05
53,300,1306.93144280,9.78314929e-07
54,135,1308.05623002,6.10863699e-09
55,300,1311.13003578,1.00850343e-05
56,300,1313.84588409,2.53081699e-08
57,39,1315.56873661,7.28149695e-09
58,300,1315.27243602,5.51981362e-06
59,71,1314.96972296,4.78930986e-09
60,23,1318.32950201,6.80858427e-09
61,15,1314.22095100,5.31422867e-09
62,15,1319.83082878,7.66580212e-09
63,11,1307.07109819,3.84474128e-09
64,9,1308.59054300,5.47623977e-09
65,9,1307.45023145,8.65270234e-09
66,9,1308.49479980,7.94578479e-09
67,11,1306.54826412,8.45362099e-09
68,29,1306.98467114,8.20723953e-09
69,21,1312.45766308,6.50916773e-09
70,53,1320.00860696,7.77029428e-09
71,17,1327.90821141,8.52683402e-09
72,65,1336.03172189,6.67606804e-09
73,25,1350.26514077,6.47622550e-09
74,23,1364.07428832,6.21108031e-09
75,239,1373.32170799,2.23232542e-09
76,300,1374.60710365,3.31638005e-08
77,15,1379.91837364,9.00208822e-09
78,300,1387.23964009,1.04390205e-07
79,22,1383.43382394,1.75308868e-09
80,300,1381.06781107,1.36067620e-07
81,43,1381.13984495,9.11646727e-09
82,9,1387.15201189,8.59972842e-09
83,300,1395.35956968,1.01813426e-07
84,300,1398.93278804,1.10756478e-07
85,287,1408.81186160,2.64318019e-09
86,300,1412.46650884,1.49901954e-08
87,9,1417.69660724,2.71890974e-09
88,31,1422.54873920,4.79406006e-09
89,9,1427.51641387,6.88403463e-09
90,9,1431.94531376,7.47983135e-09
91,9,1438.01461642,8.76662193e-09
92,155,1445.14069956,6.84064885e-09
93,9,1442.05197852,5.83168962e-09
94,9,1444.35602303,5.14120662e-09
95,9,1424.72286867,5.61181722e-09
96,171,1438.54163143,7.36424203e-09
97,205,1436.54796885,9.13572753e-09
98,300,1428.07869772,4.40693362e-05
99,300,1419.63920729,1.05376425e-07
100,42,1415.93151999,1.43911899e-09
101,12,1420.02110260,1.58343162e-09
102,12,1423.59669523,1.64949554e-09
103,300,1427.10326618,1.40172144e-07
104,300,1430.84079716,1.29171226e-07
105,10,1429.27025914,1.09433478e-09
106,10,1432.88625414,1.03109867e-09
107,31,1438.50128559,9.77428976e-09
108,14,1443.08708828,1.51457183e-09
109,300,1440.90217888,2.27087625e-07
110,68,1446.82733614,2.77142375e-09
111,12,1441.16994209,1.98082262e-09
112,300,1452.77995102,2.06711828e-07
113,12,1457.94346067,2.51139786e-09
114,38,1461.98941872,2.88718213e-09
115,10,1457.64875693,1.95385526e-09
116,10,1462.28406831,1.90948254e-09
117,300,1464.73657730,2.26770113e-07
118,12,1455.19128605,2.93409138e-09
119,300,1460.91938325,3.85885785e-07
120,14,1467.52435865,4.39540400e-09
121,40,1461.64225431,3.13947432e-09
122,300,1470.95197512,1.82301356e-07
123,54,1453.56899722,3.95995759e-09
124,300,1437.53674033,2.46295293e-07
125,201,1426.27251287,5.69351823e-09
126,205,1420.61879602,4.78638741e-09
127,300,1407.56418241,1.03349297e-07
128,300,1417.83328582,1.86622563e-07
129,300,1420.80177875,2.79751781e-07
130,300,1423.22866525,3.42356008e-07
131,300,1423.63090966,3.03809729e-07
132,300,1418.31025730,1.56953582e-07
133,300,1397.12380507,1.25248878e-04
134,300,1360.26586096,4.93134610e-08
135,231,1387.52819101,8.20157510e-09
136,300,1374.49905210,1.35968044e-05
137,300,1388.31490126,3.35499216e-08
138,300,1382.83474919,1.41000518e-05
139,255,1385.97400434,4.83990750e-09
140,300,1386.63455533,3.63877464e-05
141,300,1390.67222580,2.26706063e-05
142,300,1398.42648340,1.72586582e-05
143,271,1398.90752331,9.30017459e-09
144,300,1423.97676006,1.54288896e-07
145,300,1427.43946037,1.45133110e-05
146,300,1441.55167006,2.75035850e-06
147,300,1442.07242650,2.07381602e-05
148,300,1453.26347626,2.96375478e-05
149,300,1455.01461517,3.10610490e-05
150,300,1459.76038790,1.15695755e-07
151,300,1462.09193934,4.65929415e-06
152,300,1475.86090322,1.22296237e-07
